candidate_id,manufacturer,mpn_configuration,product_page,official_drawing,official_cad,material,finish,dimensions,mass,ratings_capability,seawater_environment,lifecycle_status,distributor,coc_availability,material_cert_availability,lot_serial_heat_traceability,procurement_evidence,delivered_item_coc_status,maturity_level,evidence_limit
C-012,ACE Controls,HBD-15-25-AA-P,https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15.html,Official family dimensions,CAD UNVERIFIED,"Black anodized aluminum body; hard chrome steel rod; zinc plated A end fittings",Vendor standard,"15 mm body; 25 mm stroke; 145 mm extended",UNVERIFIED,"36-800 N adjustable compression/extension; no free travel; -20 to 80 C; external stop 1-1.5 mm before stroke ends",No underwater or external-pressure rating published,Current configurable,ACE direct/authorized distributor,Available as order option per comparative evidence,Material declaration by RFQ,Lot/setting trace by RFQ,"Distributor lists exact MPN around USD169 ordered on request; quote required",NOT RECEIVED,4,"Selected quantity 2 for underwater development; standard mixed-metal construction is a corrosion risk"
C-013,Lee Spring,LHL 625D 12,https://www.leespring.com/compression-springs,Official catalog table,CAD UNVERIFIED,Spring material UNVERIFIED,UNVERIFIED,"15.24 mm OD; 203.2 mm free; 139.7 mm solid",UNVERIFIED,"11.91 N/mm catalog rate",Seawater/corrosion UNVERIFIED,Current catalog family,Lee Spring direct,UNVERIFIED,UNVERIFIED,Lot trace UNVERIFIED,NONE,NOT RECEIVED,2,"Exact current item page and material/cert not captured"
C-014,Gutekunst Federn,VD-244,https://www.federnshop.com/en/products/compression_springs/vd-244.html,Vendor datasheet,STEP/STL/IGES advertised not captured,1.4310 stainless spring steel,Vendor standard,Per datasheet,0.0319863 kg baseline override,Spring characteristics per datasheet,Seawater durability UNVERIFIED,Current catalog,Gutekunst direct,UNVERIFIED,UNVERIFIED,Lot trace UNVERIFIED,Product page exists; no quote,NOT RECEIVED,3,"Pack-specific force and life unverified"
C-015,JW Winco / Ganter,GN 817-4-6-M8x1-BK-NI-RT,https://www.jwwinco.com/en-us/products/product-family/Stainless-Steel/GN-817-Stainless-Steel-Indexing-Plungers-with-Multiple-Pin-Lengths-Lock-Out-or-Non-Lock-Out-Red-Knob,https://live-catalog.jwwinco.com/pdf/winco/US/817.pdf?dispositiontype=attachment,3D view offered,AISI 303 stainless guide/pin for NI family,Red knob/standard,"4 mm pin; 6 mm stroke; M8x1",UNVERIFIED,Spring loads per vendor table; structural lock load not stated,Seawater/crevice/contamination UNVERIFIED,Current catalog,JW Winco direct/distributors,UNVERIFIED,UNVERIFIED,UNVERIFIED,Orderable exact string on page; no quote,NOT RECEIVED,3,"Not acceptable as structural lock until load proof"
C-016,JW Winco / Ganter,GN 615.3-M3-KN-PFB,https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Spring-plungers/GN-615.3-Steel-Stainless-Steel-Ball-Plungers-with-thread-locking-with-ball-with-internal-hexagon,Official PDF linked,CAD UNVERIFIED,Stainless configuration,Thread locking,"M3; remaining dimensions per drawing",UNVERIFIED,Spring load per drawing,Seawater/contamination UNVERIFIED,Current catalog,JW Winco direct/distributors,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,NOT RECEIVED,3,"Closure witness only; not primary structural lock"
C-017,Smalley,VSM-6-S16-PA,https://www.smalley.com/ring/vsm-6,VSM catalog linked,CAD UNVERIFIED,S16 stainless,Vendor standard,6 mm shaft size,UNVERIFIED,Capacity per vendor catalog,Seawater/crevice UNVERIFIED,Current,Smalley direct/distributors,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,NOT RECEIVED,3,"Groove and dynamic retention proof open"
C-018,Rotor Clip,DC-4SS,https://www.rotorclip.com/product/dc-4/,Official product drawing linked,CAD UNVERIFIED,Stainless suffix,Vendor standard,4 mm shaft family,UNVERIFIED,Capacity per vendor drawing,Seawater/crevice UNVERIFIED,Current,Rotor Clip/distributors,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,NOT RECEIVED,3,"Exact suffix certificate and groove proof open"
C-019,Samson Rope Technologies,AmSteel-Blue code 872 7/64 inch,https://www.samsonrope.com/mooring/amsteel--blue,Official technical page/datasheet,NOT APPLICABLE,HMPE/UHMWPE fiber,Blue standard,7/64 in nominal,UNVERIFIED,"1400 lbf minimum strength in baseline source record",Marine/mooring intended; exact immersion/chafe case open,Current,Samson distributors,UNVERIFIED,Material cert UNVERIFIED,Lot trace by RFQ,NONE,NOT RECEIVED,3,"Termination efficiency and dynamic recovery proof dominate"
C-020,Sturges Manufacturing,X-6292,https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/,UNVERIFIED,NOT APPLICABLE,UHMWPE engineered webbing,UNVERIFIED,Exact width/thickness UNVERIFIED,UNVERIFIED,Public MBS not found,Environment UNVERIFIED,Current family,Sturges direct,UNVERIFIED,UNVERIFIED,Lot trace UNVERIFIED,NONE,NOT RECEIVED,2,"Exact configuration not catalog-verified"
C-021,Eastex Products,22035 Tek Air 70D,https://eastexproducts.com/products/22035-tek-air-70d-thermoplastic-polyurethane-tpu-nylon-fabric/,Official datasheet linked,NOT APPLICABLE,TPU-coated 70D nylon,Vendor standard,Roll material; thickness per datasheet,UNVERIFIED,Air-holding/weldable material data,Seawater/aging UNVERIFIED,Current,Eastex direct,UNVERIFIED,Material cert UNVERIFIED,Lot trace by RFQ,NONE,NOT RECEIVED,3,"Material candidate does not qualify custom buoy design"
C-022,Parker Hannifin,E0540 2-030,https://ph.parker.com/us/en/product-list/ethylene-propylene-80-durometer-o-ring-general-purpose-e0540-80,Official handbook linked,CAD NOT REQUIRED,EPDM 80 durometer,Vendor standard,AS568-030,UNVERIFIED,General seal material data,Saltwater candidate; media/aging/friction open,Current,Parker distributors,UNVERIFIED,Compound cert by RFQ UNVERIFIED,Lot trace by RFQ,NONE,NOT RECEIVED,3,"Low-squeeze wiper application only"
C-023,JW Winco / Ganter,GN 706.3-20-M8X1-NI,https://www.jwwinco.com/en-us/products/3.2-Mounting-Positioning-Leveling-with-Retaining-Cables-Screws-Clamping-and-Supporting-Elements/Nuts/GN-706.3-Stainless-Steel-Threaded-Set-Collars,Official PDF linked,CAD UNVERIFIED,Stainless NI,Vendor standard,"20 mm bore; M8x1 set screw",UNVERIFIED,Load capacity UNVERIFIED,Seawater/crevice UNVERIFIED,Current,JW Winco direct/distributors,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,NOT RECEIVED,3,"Service tool only until load verified"
C-024,Leland Gas Technologies,89150,https://www.lelandltd.com/cylinders.html,UNVERIFIED,UNVERIFIED,Carbon-steel disposable pressure cylinder,UNVERIFIED,"1.97 in diameter x 7.40 in length; 1/2-20",UNVERIFIED,150 g CO2,UNVERIFIED,Current listing,Leland direct/distributor UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NONE,NOT RECEIVED,2,"Single-source deferred alternative"
C-025,Swagelok,316L-HDF4-150,https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-HDF4-150,https://www.swagelok.com/downloads/webcatalogs/en/ms-01-177.pdf,2D/3D offered,316L stainless,Standard,"50.8 mm diameter x 133 mm length; 150 cm3",0.43 kg,"DOT-3E; 1800 psig at 37 C",Material favorable; assembly seawater UNVERIFIED,Current,Swagelok authorized sales center,UNVERIFIED,UNVERIFIED,UNVERIFIED,Orderable page; no quote,NOT RECEIVED,3,"Likely gas capacity short; fill approval open"
C-026,Swagelok,KPR1DRB412A20000,https://products.swagelok.com/en/c/single-stage/p/KPR1DRB412A20000,Official sales drawing offered,2D/3D/CAD offered,"316 stainless; PCTFE seat; X750 diaphragm",Standard,"1/4 in female NPT ports; B configuration",UNVERIFIED,"3600 psig max inlet; 0-25 psig control; Cv 0.06; 80 C max",Submersion reference behavior and exterior seawater UNVERIFIED,Current,Swagelok authorized sales center,UNVERIFIED,Material cert by RFQ,Lot and factory-set trace by RFQ,Orderable page; no quote,NOT RECEIVED,4,"Lead regulator candidate; flashing CO2 icing and submerged use require written approval/test"
C-027,Leland Gas Technologies,65026-18N12,https://www.lelandgas.com/product-page/copy-of-65026-18n12-puncture-device-in-line-non-mountable,Detailed data members-only,UNVERIFIED,Proprietary stainless body and stainless puncture pin,Vendor standard,"1/2-20 UNF inlet; 1/8 NPT outlet; 1.525 in long; 1.23 in diameter",UNVERIFIED,"CO2 compatible; self-sealing non-valved; public pressure and cartridge-mass limit absent",Seawater UNVERIFIED,Typically in stock,Leland direct,UNVERIFIED,UNVERIFIED,Lot trace by RFQ,Public stock statement only; no quote,NOT RECEIVED,3,"Manual puncture reference only; not water activated and no public 89070 approval"
C-028,Halkey-Roberts,2110Pxxx exact suffix required,https://www.halkeyroberts.com/Products/2110-hi-flo-molded-relief-valves,2110Pxxx drawing/tech data offered,UNVERIFIED,"Glass-filled nylon body/flange; ABS internals; stainless spring; Buna-N O-ring",Vendor standard,"1-1/2-16-2A thread; approx 55 g",55 g,"Factory springs 0.3|0.5|1.0|1.5|3|5|7 psig; individually calibrated/tested; high-flow curves",Liferaft/air-bladder intended; exact seawater/CO2 icing test open,Current,Nordson/Halkey-Roberts direct,UNVERIFIED,Material declaration by RFQ,Lot/set/calibration trace required,NONE,NOT RECEIVED,4,"Lead differential relief family after buoy MAWP and exact suffix close"
C-029,Leafield Marine,A6PG-XXXNXXX or A6NP-XXXNXXX exact suffix required,https://www.leafieldmarine.com/pressure-relief-valves/a6-pressure-relief-valve/,Pressure chart and installation sheets offered,CAD UNVERIFIED,UV-resistant engineered materials; detailed composition by RFQ,Vendor standard,Clamp fitting; exact configuration per suffix,UNVERIFIED,"Factory-set family; 0.5-20 psi published selections; 100% opening/closing tested; -30 to 65 C",Commercial/military inflatable boat/liferaft use,Current,Leafield direct/distributors,UNVERIFIED,Material declaration by RFQ,Lot/set/test trace required,Buy-now family page; no exact quote,NOT RECEIVED,4,"Second differential relief lead; exact set and attachment depend on buoy MAWP"
C-030,HIKO Sport,87640_OLV_ONE,https://hikosport.com/en-eu/products/floatek-full-tail,No pressure drawing,No rigid CAD expected,Drifter 210D TPU-coated nylon,PVC-free olive,"Dealer corroborates 97 x 68 cm and 60 L",UNVERIFIED,"60 L catalog basis; MAWP relief and direct CO2 approval absent",Kayak flotation use; cold-flexible claim; mission seawater cycles UNVERIFIED,Current SKU; manufacturer page sold out,HIKO dealer network,UNVERIFIED,Lot/material statement by RFQ,Lot/date trace requested,"Manufacturer USD48 sold out; dealer about EUR45; stock unverified",NOT RECEIVED,3,"Selected quantity 2 for softgoods development only; TEST REFERENCE ONLY for pressure architecture"
C-031,Leland Gas Technologies,86202Z,https://www.lelandltd.com/product-page/v95000-86202z-38-gram-1-2-co2-rearming-kit,Controlled drawing by RFQ,UNVERIFIED,Zinc-coated low-carbon-steel disposable cylinder,Vendor standard,"1.18 in diameter x 4.65 in length; 50 mL water capacity; 1/2-20",UNVERIFIED,"38 g CO2; exact V95000-86202Z automatic rearm kit published",Marine/lifejacket application; STINGRAY immersion duration UNVERIFIED,Current/in-stock observation 2026-08-24,Leland direct,CoC UNVERIFIED,Pressure/regulatory construction declaration by RFQ,Fill lot/date/minimum gross weight and bobbin expiration requested,"Official exact rearm-kit listing; no quote",NOT RECEIVED,4,"Preferred supported cartridge baseline; final count depends on owner mission"
C-032,Leland Gas Technologies,85202Z,https://www.lelandltd.com/product-page/v95000-85202z-33-gram-1-2-co2-rearming-kit,Controlled drawing by RFQ,UNVERIFIED,Zinc-coated low-carbon-steel disposable cylinder,Vendor standard,"1.00 in diameter; 45 mL; 1/2-20; 5.00-in current-page versus 5.50-in legacy-table conflict",UNVERIFIED,"33 g CO2; exact V95000 and V90000 rearm configurations published",Marine/lifejacket application; STINGRAY immersion duration UNVERIFIED,Current/in-stock observation 2026-08-24,Leland direct,CoC UNVERIFIED,Pressure/regulatory construction declaration by RFQ,Fill lot/date/minimum gross weight and bobbin expiration requested,"Official exact rearm-kit listings; no quote",NOT RECEIVED,4,"Supported alternate and functional-scale mass class; controlled dimension required"
C-033,Lifesaving Systems,470-CG,https://lifesavingsystems.com/product/470-cg-auto-inflator-f-481-cg-and-485-cg,Product data sheet linked,UNVERIFIED,"HR V95000-1F assembly; detailed materials per HR",Vendor standard,"1/2-20 inflator; beaded lanyard; gaskets; Super Bobbin",UNVERIFIED,"Automatic water activation plus manual backup; exact replacement inflator for 481-CG and 485-CG",Marine rescue equipment context,Current add-to-cart observation 2026-08-24,Lifesaving Systems direct,CoC UNVERIFIED,Material declaration by RFQ,"Assembly lot/revision and bobbin manufacture/expiration requested","USD79.99 observed; quote controls",NOT RECEIVED,4,"Selected within complete 481-CG Type-3 functional-scale system"
C-034,Lifesaving Systems,#484,https://lifesavingsystems.com/product/co2-cylinders/,Product data sheet linked,NOT APPLICABLE,Disposable CO2 cylinder,Vendor standard,"33 g; 1/2-20; NSN 8120-01-646-0811",UNVERIFIED,"Published LSC equipment cylinder paired with V95000-1F class inflator",Marine rescue equipment context,Current add-to-cart observation 2026-08-24,Lifesaving Systems direct,CoC UNVERIFIED,Pressure/regulatory construction declaration by RFQ,Fill lot/date/minimum gross weight requested,"USD3.40-13.89 observed; quote controls",NOT RECEIVED,4,"Selected Type-3 functional-scale cylinder; NOT REPRESENTATIVE OF FINAL GAS INVENTORY"
C-035,Nordson MEDICAL / Halkey-Roberts,V90139UCHKIT / V90139UCH2KIT,https://fluid-components.nordsonmedical.com/Products/Inflation-Products/,Official holder instructions,UNVERIFIED,Polymer/metal assembly per vendor,Vendor standard,"Universal holder family; handed configuration by installation",UNVERIFIED,"Instructions identify use with V90000/V95000/V96000/840 families",Marine PFD mounting context; exact STINGRAY load/fixture approval pending,Current family,Nordson MEDICAL direct/trade,CoC UNVERIFIED,Material declaration by RFQ,Assembly lot requested,"Official instructions; no quote",NOT RECEIVED,3,"Exact handed holder must be selected by controlled mount orientation and vendor response"
C-036,HIKO Sport,87901_ONE Buoyancy RF V.2,https://hikosport.com/en-eu/collections/buoyancy-bags,No pressure drawing,No rigid CAD expected,"PVC/nylon construction reported by retailer; manufacturer confirmation required",Vendor standard,"60 L retailer listing; exact controlled dimensions UNVERIFIED",UNVERIFIED,"Backup 60 L development buoy; MAWP/relief/direct-CO2 approval absent",Kayak flotation use; cold/material suitability below primary,Current retailer in-stock observation 2026-08-24,HIKO dealer network,UNVERIFIED,Lot/material statement by RFQ,Lot/date trace requested,"KajakarShop.cz CZK980 and >3 observed; authorization unverified",NOT RECEIVED,2,"BACKUP TEST BUOY only if exact primary cannot be traced; no generic substitution"
C-037,Lifesaving Systems,481-CG,https://lifesavingsystems.com/product/481-cg-pro-lite-vest-auto-w-cg-markings,Product data/owner instructions linked,NOT APPLICABLE,"Complete inflatable rescue vest; exact construction per manufacturer",Vendor standard,"Complete system; exact dimensions/weight per current data sheet",UNVERIFIED,"Uses 470-CG replacement HR V95000-1F architecture and LSC #484 33 g 1/2-20 cylinder",Marine rescue equipment application; STINGRAY final inventory not represented,Current add-to-cart observation 2026-08-24,Lifesaving Systems direct,CoC UNVERIFIED,Material declaration by RFQ,"System/inflator/cylinder lot; bobbin expiration; fill lot/date requested","USD513.32 observed; quote controls",NOT RECEIVED,4,"Selected complete Type-3 functional-scale article quantity 2; preserves manufacturer mount/bladder/outlet context"
