candidate_id,architectures,function,manufacturer,mpn_or_configuration,quantity_selected,classification,maturity_level,technical_disposition,source_url
C-011,A;B;C,arm actuation,ACE Controls,GS-19-50-V4A-B8-B8 300 +/- 30 N,1,CONFIGURABLE COTS MODULE,3,"50 mm stroke stainless gas spring; ordered force and joints require vendor confirmation",https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a/gs-19-50-v4a.html
C-012,A;B;C,damping,ACE Controls,HBD-15-25-AA-P,1,CONFIGURABLE COTS MODULE,3,"25 mm stroke double-acting damper; exact suffix/force-speed/environment open",https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15.html
C-013,A;B;C,backup deployment spring,Lee Spring,LHL 625D 12,1,COTS COMPONENT FAMILY,2,"15.24 mm OD fits envelope; source rate differs from legacy target and must be recalculated",https://www.leespring.com/compression-springs
C-014,A;B;C,buoy ejector spring,Gutekunst Federn,VD-244,1,COTS COMPONENT FAMILY,3,"Catalog identity; pack force/solid height/wet corrosion require test",https://www.federnshop.com/en/products/compression_springs/vd-244.html
C-015,A;B;C,transport inhibit/deployed lock,JW Winco / Ganter,GN 817-4-6-M8x1-BK-NI-RT,4,COTS + SMALL CUSTOM ADAPTER,3,"Stainless non-lock-out plunger candidate; load/contamination fit open",https://www.jwwinco.com/en-us/products/product-family/Stainless-Steel/GN-817-Stainless-Steel-Indexing-Plungers-with-Multiple-Pin-Lengths-Lock-Out-or-Non-Lock-Out-Red-Knob
C-016,A;B;C,closure witness,JW Winco / Ganter,GN 615.3-M3-KN-PFB,3,COTS COMPONENT FAMILY,3,"Existing source identity; marine contamination/endurance open",https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Spring-plungers/GN-615.3-Steel-Stainless-Steel-Ball-Plungers-with-thread-locking-with-ball-with-internal-hexagon
C-017,A;B;C,shaft retention,Smalley,VSM-6-S16-PA,6,COTS COMPONENT FAMILY,3,"6 mm stainless retaining-ring candidate; exact packaging and groove loads open",https://www.smalley.com/ring/vsm-6
C-018,A;B;C,hinge retention,Rotor Clip,DC-4SS,4,COTS COMPONENT FAMILY,3,"4 mm stainless crescent ring; groove/load/corrosion proof open",https://www.rotorclip.com/product/dc-4/
C-019,A;B;C,recovery tether,Samson Rope Technologies,AmSteel-Blue code 872 7/64 inch,1,COTS COMPONENT FAMILY,3,"Manufacturer minimum strength historically recorded as 1400 lbf; wet splice/chafe/dynamic system proof open",https://www.samsonrope.com/mooring/amsteel--blue
C-020,A;B;C,buoy structural harness,Sturges Manufacturing,X-6292 UHMWPE engineered webbing,1,COTS COMPONENT FAMILY,2,"Product family identified; public MBS and exact weave/configuration not established",https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/
C-021,A;B;C,buoy bladder material,Eastex Products,22035 Tek Air 70D,1,COTS COMPONENT FAMILY,3,"Air-holding TPU/nylon material candidate only; does not make custom buoy a COTS module",https://eastexproducts.com/products/22035-tek-air-70d-thermoplastic-polyurethane-tpu-nylon-fabric/
C-022,A;B;C,service closure seal,Parker Hannifin,E0540 2-030,1,COTS COMPONENT FAMILY,3,"EPDM wiper candidate; squeeze/friction/salt aging and media restrictions open",https://ph.parker.com/us/en/product-list/ethylene-propylene-80-durometer-o-ring-general-purpose-e0540-80
C-023,A;B;C,reset/service collar,JW Winco / Ganter,GN 706.3-20-M8X1-NI,1,COTS + SMALL CUSTOM ADAPTER,3,"External service-tool collar; stop/load behavior open",https://www.jwwinco.com/en-us/products/3.2-Mounting-Positioning-Leveling-with-Retaining-Cables-Screws-Clamping-and-Supporting-Elements/Nuts/GN-706.3-Stainless-Steel-Threaded-Set-Collars
C-024,DEFERRED,gas storage,Leland Gas Technologies,89150 150 g CO2 1/2-20,1,COMPLETE COTS MODULE,2,"Near 50 mm diameter and single point; retained as sizing alternative",https://www.lelandltd.com/cylinders.html
C-025,B-ALTERNATE,gas storage,Swagelok,316L-HDF4-150,1,COMPLETE COTS MODULE,3,"DOT-3E 1800 psig 150 cm3; likely gas-margin constraint; fill approval open",https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-HDF4-150
