record_type,state,part_number,revision,description,material,make_buy,manufacturer,cad_classification,source_url,purchase_url,process,finish,notes,mass_kg,volume_mm3,solid_count,face_count,step_schema,step_path,step_size_bytes,step_sha256,brep_path,brep_size_bytes,brep_sha256,source_path,source_sha256,copied_byte_for_byte
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,A,BACKUP SPRING AFT FIXED SEAT,Ti-6Al-4V,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Mill-turn,,,0.004223191167941975,953.3162907318227,1,4,AP242,controlled_part_definitions/DF8-R2-BACKUP-SPRING-FIXED-SEAT-001__REV_A__STATE_STOWED__LOCAL_AP242.step,11593,4741086bc87048c04b2f1a7e6a5e3a258efabc80b2e28e8f6484e4638f8f0ebc,controlled_part_definitions/DF8-R2-BACKUP-SPRING-FIXED-SEAT-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,2137,f202db1cae310446d12e68864b78a5875556c26cee84f5f5f1dd2119307d3247,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BACKUP-SPRING-GUIDE-001,A,BACKUP SPRING DLC GUIDE SHAFT,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Centerless grind and DLC,,,0.028151615419277288,3632.4665057131983,1,3,AP242,controlled_part_definitions/DF8-R2-BACKUP-SPRING-GUIDE-001__REV_A__STATE_STOWED__LOCAL_AP242.step,7908,cef0654952140468b25929b42e2b83b3c353f01e77e61adbb64201e72bc62df5,controlled_part_definitions/DF8-R2-BACKUP-SPRING-GUIDE-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,1120,062dce4e836da4764304ec9accf8df298bb0d6170d83c994fa9bf943f64aceea,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,A,BACKUP SPRING CROSSHEAD SEAT,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Mill-turn,,,0.0073882012531716265,953.3162907318227,1,4,AP242,controlled_part_definitions/DF8-R2-BACKUP-SPRING-MOVING-SEAT-001__REV_A__STATE_STOWED__LOCAL_AP242.step,11598,81b04e7715563f5f649fffa743977ab8c43a75f9b92866076eba92deffba2546,controlled_part_definitions/DF8-R2-BACKUP-SPRING-MOVING-SEAT-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,2137,f202db1cae310446d12e68864b78a5875556c26cee84f5f5f1dd2119307d3247,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BALLAST-001,A,FORWARD TUNGSTEN BALLAST AND PRIMARY SPINE SOCKET,Tungsten heavy alloy,MAKE,STINGRAY custom,DRAWING_DERIVED,,,CNC turn; wire-EDM socket,,,4.885286155083886,287369.77382846386,1,4,AP242,controlled_part_definitions/DF8-R2-BALLAST-001__REV_A__STATE_STOWED__LOCAL_AP242.step,11505,572b960cd6a8d927a82bb049799537a8d532b8d4af5969d0eaaddf8c27bf3429,controlled_part_definitions/DF8-R2-BALLAST-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,2122,513ad7f7aa632c09be5f2fb291ed77834b0297ee76d0edc4af59cdccb4cde15d,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BOOSTER-BAND-001,A,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,PEEK,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Machine from PEEK,,,0.00026500552547815466,200.76176172587475,1,23,AP242,controlled_part_definitions/DF8-R2-BOOSTER-BAND-001__REV_A__STATE_STOWED__LOCAL_AP242.step,88306,877f4dbe07aa523e393f71a26d3a853801ab418006c9304a5b399ecfa53dc9ac,controlled_part_definitions/DF8-R2-BOOSTER-BAND-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,21109,5c837c898a10d013da67bef26562866f2faff593c9b7052351f9aa74ab88ce20,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BOOSTER-RESERVOIR-001,A,13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES,316 stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Seamless tube; orbital weld; proof test,,PROVISIONAL — BLOCKS FINAL RELEASE: pressure design and supplier unresolved.,0.1376017582272329,17200.219778404113,1,12,AP242,controlled_part_definitions/DF8-R2-BOOSTER-RESERVOIR-001__REV_A__STATE_STOWED__LOCAL_AP242.step,27064,3f4144b4a84797130196eaac3443cc8025a8745d86b3cf0de4ab86943ccc5647,controlled_part_definitions/DF8-R2-BOOSTER-RESERVOIR-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,6328,94f137491c6168996ea2733b04b182083ff362b53842e66e41af38f4bd73d167,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BOWDEN-SHEATH-001,A,CONTINUOUS TERMINATED BOWDEN SHEATH,316 stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Seamless formed tube,,Exact cable nipple supplier unresolved.,0.010433373493010418,1304.1716866263023,1,24,AP242,controlled_part_definitions/DF8-R2-BOWDEN-SHEATH-001__REV_A__STATE_STOWED__LOCAL_AP242.step,77320,a5fea4582c50d0b1a6c76c0f9811d28653a9c21a6d3ea93536a0535891a778ca,controlled_part_definitions/DF8-R2-BOWDEN-SHEATH-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,26595,1459e608171d243254e1b60d00f6257e706ddfba6f81ac96ec3bede10d535cda,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BOWDEN-SHEATH-UNION-001,A,BOWDEN SHEATH DOUBLE-FERRULE BULKHEAD UNION,316 stainless steel,BUY,Qualified micro-fitting supplier TBD,PROVISIONAL — BLOCKS FINAL RELEASE,,,,,"Exact fitting, ferrule, seal, and rating unresolved.",0.00011083538881864788,13.854423602330986,2,8,AP242,controlled_part_definitions/DF8-R2-BOWDEN-SHEATH-UNION-001__REV_A__STATE_STOWED__LOCAL_AP242.step,19687,a414f527f03a0881c82e1f3485625d139e7cc9d2946a922ea2beb4bc6faaf2cd,controlled_part_definitions/DF8-R2-BOWDEN-SHEATH-UNION-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,4178,30828e4b1eb4d838cd103f2d9b85fb7d9dc3fad9695a105016768fa58e0f946d,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BOWDEN-WIRE-001,A,CONTINUOUS TERMINATED BOWDEN WIRE,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Bowden wire,,Exact cable nipple supplier unresolved.,0.001961427515091197,253.08742130208992,1,9,AP242,controlled_part_definitions/DF8-R2-BOWDEN-WIRE-001__REV_A__STATE_STOWED__LOCAL_AP242.step,28507,51eab4173b4d672c7f531dbef1ad5ebb9f8f20fec1c189a978f8a3afd273ea6d,controlled_part_definitions/DF8-R2-BOWDEN-WIRE-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,9879,470d68112a9138fd6281dbe20830d7cd308939a5c6ed0f432a51959f7866ff6a,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BOWDEN-WIRE-UNION-001,A,BOWDEN WIRE DOUBLE-FERRULE BULKHEAD UNION,316 stainless steel,BUY,Qualified micro-fitting supplier TBD,PROVISIONAL — BLOCKS FINAL RELEASE,,,,,"Exact fitting, ferrule, seal, and rating unresolved.",1.432566250036947e-05,1.790707812546184,2,8,AP242,controlled_part_definitions/DF8-R2-BOWDEN-WIRE-UNION-001__REV_A__STATE_STOWED__LOCAL_AP242.step,19677,a2898eea5035cf7f73474d246e3fcd30e4cc32b11f24a7fd1d73be4af4931a51,controlled_part_definitions/DF8-R2-BOWDEN-WIRE-UNION-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,4197,503b562a1d61da7c16a21814cf5041d0574ebb9e7f699d156786cb3e6082ce35,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-01,A,60 L BUOY GORE 1 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.0015033600000000007,1252.8000000000006,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-01__REV_A__STATE_STOWED__LOCAL_AP242.step,17840,2468d36880c79a296b3e3219eeb535224ea009cc9b4736e9c0ae4ed9c91d0886,controlled_part_definitions/DF8-R2-BUOY-GORE-01__REV_A__STATE_STOWED__LOCAL_OCCT.brep,2503,8de3cd4840b0de599ad79d68b0ceef72c2c5b11b431c83ccca22009b40d240ed,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-02,A,60 L BUOY GORE 2 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.001503360000000002,1252.8000000000018,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-02__REV_A__STATE_STOWED__LOCAL_AP242.step,18799,ab5a67cb1b1d648399ce80ca78101f8e272c581280197cc9ba121b0c3646084c,controlled_part_definitions/DF8-R2-BUOY-GORE-02__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3744,be6ac5c6d26e40e4b9f09394fb0d348b92948bc656d680c390daa52888c98dd5,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-03,A,60 L BUOY GORE 3 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.0015033599999999985,1252.7999999999988,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-03__REV_A__STATE_STOWED__LOCAL_AP242.step,18094,d94bbb9484c58a166fb982403e4cf77b5af4ae38ea59cc5c1d30bf8152eca3b6,controlled_part_definitions/DF8-R2-BUOY-GORE-03__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3008,84e0db253cebb10b160f27b56d171f41ad21f15873ab9e575b387efb4e75ca83,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-04,A,60 L BUOY GORE 4 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.0015033600000000005,1252.8000000000004,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-04__REV_A__STATE_STOWED__LOCAL_AP242.step,18824,b91246730661d961c53c63f51ffd36426de85c3f6751074c636a6a56551e25bb,controlled_part_definitions/DF8-R2-BUOY-GORE-04__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3740,c9723fe1919794e436b5b0230d636bb2fc4c225df674b26744883bcd79bc6bec,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-05,A,60 L BUOY GORE 5 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.0015033599999999985,1252.7999999999988,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-05__REV_A__STATE_STOWED__LOCAL_AP242.step,18166,5bdc64ad08014132e34082f1ab98155e98baa7eee623307322316117fba0e652,controlled_part_definitions/DF8-R2-BUOY-GORE-05__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3271,d59df3fbb7a137d57f34af4805ba4073ed179f1a8cd9cdb735cbd9d8a7b42ebe,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-06,A,60 L BUOY GORE 6 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.001503359999999998,1252.7999999999984,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-06__REV_A__STATE_STOWED__LOCAL_AP242.step,18802,2a60dfd09284f0bc229d79200a76e404b6e1c574c0b2b7d8339f64a819541cba,controlled_part_definitions/DF8-R2-BUOY-GORE-06__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3796,813e81ebeda54513793ed4fb294608543d45961d81e41e1ad83c22c1bf2a3dec,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-07,A,60 L BUOY GORE 7 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.0015033599999999985,1252.7999999999988,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-07__REV_A__STATE_STOWED__LOCAL_AP242.step,18156,6f75712fbf1404b1d78fc85d47ca93fa0e8b4b2787942e4a144d0d78fcc1d7d1,controlled_part_definitions/DF8-R2-BUOY-GORE-07__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3183,2a30d00ad7e5ab16b52679a8c3000fac05f03dc67ddaae4ff765923dda87e81f,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-BUOY-GORE-08,A,60 L BUOY GORE 8 OF 8,TPU-coated nylon,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Waterjet cut; RF weld 12 mm seams,,,0.0015033600000000007,1252.8000000000006,1,6,AP242,controlled_part_definitions/DF8-R2-BUOY-GORE-08__REV_A__STATE_STOWED__LOCAL_AP242.step,18812,10ec7f3db9172ad1a0d1eb08935a19d70be331549cde9a425b3d9ca485a3cd72,controlled_part_definitions/DF8-R2-BUOY-GORE-08__REV_A__STATE_STOWED__LOCAL_OCCT.brep,3757,7688b48e2760cc0778066e1f91a3bc2e0c6b55b31f7b3193736c77dc09b5e3fc,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-CARTRIDGE-CARRIER-001,A,FOUR-CARTRIDGE DOUBLE-PLATE CARRIER,7075-T6 aluminum,MAKE,STINGRAY custom,DRAWING_DERIVED,,,5-axis mill,,,0.007803692491254046,2777.1147655708346,2,15,AP242,controlled_part_definitions/DF8-R2-CARTRIDGE-CARRIER-001__REV_A__STATE_STOWED__LOCAL_AP242.step,46201,b3c67f99c2b0af1a3094ff4f33df676b5bd23471cc33f99e35837515e5974ce1,controlled_part_definitions/DF8-R2-CARTRIDGE-CARRIER-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,10597,fea44e080ab56307f1281dbf3a67e684e03cdab2739ddda2ebebc1b490b38e28,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-COLLECTION-MANIFOLD-001,A,FOUR-PORT COLLECTION MANIFOLD WITH BORED PASSAGES,316 stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,5-axis mill; gun drill; proof test,,,0.09340331950240885,11675.414937801106,1,8,AP242,controlled_part_definitions/DF8-R2-COLLECTION-MANIFOLD-001__REV_A__STATE_STOWED__LOCAL_AP242.step,26088,7ee55e23576035d2e006e2b27d913d0d59a57027548b822b9fa43c5c134e4e81,controlled_part_definitions/DF8-R2-COLLECTION-MANIFOLD-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,6000,98b1b9418e32582d1ed8f27b86706bff286eb5ee429153ee5453a5dbbc85f50e,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-CROSSHEAD-001,A,ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,5-axis mill-turn; H900; hone,,,0.012188178597747729,1572.6682061609972,5,213,AP242,controlled_part_definitions/DF8-R2-CROSSHEAD-001__REV_A__STATE_STOWED__LOCAL_AP242.step,684394,60d819f7d4db5edeb866d85100631d872fa06b48e0b522e8cc68ea8ae6aaa215,controlled_part_definitions/DF8-R2-CROSSHEAD-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,205048,a553763ab430d0c2279929577bff26b7e0be8fb2034aa15c5274a4359f682fea,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-CROSSHEAD-GUIDE-001,A,CENTRAL DLC CROSSHEAD GUIDE SHAFT,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Centerless grind and DLC,,,0.008975404547599895,1158.1167158193414,1,3,AP242,controlled_part_definitions/DF8-R2-CROSSHEAD-GUIDE-001__REV_A__STATE_STOWED__LOCAL_AP242.step,7886,0972c1f36bf5e68f6529d7f4aae98928819db5f5915a2bf7ee62f277e26607b3,controlled_part_definitions/DF8-R2-CROSSHEAD-GUIDE-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,1204,061bfd596c1fa568234a05bb48ddf22d666d97519601f680c40c37e6fe5a705c,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-FIXED-SECTOR-001,A,ANALYTIC CYLINDRICAL FIXED BODY SECTOR,Ti-6Al-4V,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Hot form and 5-axis trim,,,0.4661601028903279,105228.01419646227,1,10,AP242,controlled_part_definitions/DF8-R2-FIXED-SECTOR-001__REV_A__STATE_STOWED__LOCAL_AP242.step,35017,454d78ddab811287229e4e4e04df24e34dcd7c164f698372470db3835dc41490,controlled_part_definitions/DF8-R2-FIXED-SECTOR-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,8720,cd7b4e576331cf39c406e89130f96c1aa2ca15580c5a85798f4173e3c59f49f6,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-FIXED-STOP-001,A,80 DEGREE DOWEL-LOCATED FIXED STOP,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Wire EDM and grind,,,0.0013980999999999998,180.39999999999998,1,6,AP242,controlled_part_definitions/DF8-R2-FIXED-STOP-001__REV_A__STATE_STOWED__LOCAL_AP242.step,17697,ff11ff9b9f9e29291a770a7d18e76ffaabeb9abdb44146550be548a2c22b9e91,controlled_part_definitions/DF8-R2-FIXED-STOP-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,2548,1fb992e64b65fa68fda0a5b58692ea8801e8881c707284e9440340f62e560def,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-FULLFLOW-VALVE-001,A,DIRECT FULL-FLOW VALVE WITH BORED AXIAL AND RADIAL PORTS,17-4PH stainless steel,MAKE,STINGRAY custom,DRAWING_DERIVED,,,Swiss turn; cross-drill; lap,,,0.015129307169058515,1952.1686669752921,1,16,AP242,controlled_part_definitions/DF8-R2-FULLFLOW-VALVE-001__REV_A__STATE_STOWED__LOCAL_AP242.step,127343,de3779beb4cff4aa93af654568c975569d6ea23409442673fea8472e7138694f,controlled_part_definitions/DF8-R2-FULLFLOW-VALVE-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,63609,fa0c57315262b18625993a541d581d9463061082fa61b70b78e8a366c4172ae8,,,
CONTROLLED_PART_DEFINITION,STOWED,DF8-R2-FWD-LONGERON-001,A,FORWARD PRIMARY LOAD-PATH LONGERON,Ti-6Al-4V,MAKE,STINGRAY custom,DRAWING_DERIVED,,,5-axis mill,,,0.01762401438607598,3978.3328185273094,1,8,AP242,controlled_part_definitions/DF8-R2-FWD-LONGERON-001__REV_A__STATE_STOWED__LOCAL_AP242.step,27465,2565054934c4e18a957f30594efb451c5a5bdbdecaba821b580f8f0bd66055f5,controlled_part_definitions/DF8-R2-FWD-LONGERON-001__REV_A__STATE_STOWED__LOCAL_OCCT.brep,6812,8d63d7696ae394fdfc488babaf5dae7f99dec91708d25cbde7ffec97c0b0c128,,,
