"part_number","revision","description","make_buy","manufacturer","cad_classification","occurrence_quantity","mass_each_kg","material","source_url","notes"
"DF8-R2-BUOY-GORE-04","A","60 L BUOY GORE 4 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
"DF8-R2-BUOY-GORE-05","A","60 L BUOY GORE 5 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
"DF8-R2-BUOY-GORE-06","A","60 L BUOY GORE 6 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
"DF8-R2-BUOY-GORE-07","A","60 L BUOY GORE 7 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
"DF8-R2-BUOY-GORE-08","A","60 L BUOY GORE 8 OF 8","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02375","TPU-coated nylon","",""
"DF8-R2-CARTRIDGE-CARRIER-001","A","FOUR-CARTRIDGE DOUBLE-PLATE CARRIER","MAKE","STINGRAY custom","DRAWING_DERIVED","2","0.00261486979660744","7075-T6 aluminum","",""
"DF8-R2-COLLECTION-MANIFOLD-001","A","FOUR-PORT COLLECTION MANIFOLD WITH BORED PASSAGES","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.08367859264028146","316 stainless steel","",""
"DF8-R2-CROSSHEAD-001","A","ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.012188178597747732","17-4PH stainless steel","",""
"DF8-R2-CROSSHEAD-GUIDE-001","C","CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.01153710148317413","17-4PH stainless steel","",""
"DF8-R2-CROSSHEAD-GUIDE-SPIDER-001","A","THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0012339130177071314","Ti-6Al-4V","",""
"DF8-R2-FIXED-SECTOR-001","A","ANALYTIC CYLINDRICAL FIXED BODY SECTOR","MAKE","STINGRAY custom","DRAWING_DERIVED","2","0.340458772291073","Ti-6Al-4V","",""
"DF8-R2-FIXED-STOP-001","E","80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.0023936337070524028","17-4PH stainless steel","",""
"DF8-R2-FULLFLOW-VALVE-001","A","DIRECT FULL-FLOW VALVE WITH BORED AXIAL AND RADIAL PORTS","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.020074330627018175","17-4PH stainless steel","",""
"DF8-R2-FWD-LONGERON-001","B","FORWARD PRIMARY LOAD-PATH LONGERON","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.01611010229626497","Ti-6Al-4V","",""
"DF8-R2-FWD-SHELL-001","A","FORWARD GRADE-9 TITANIUM SHELL WITH CONTROLLED WATER PORT","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.44986861114574234","Ti-3Al-2.5V Grade 9","",""
"DF8-R2-HARNESS-BAND-1","A","X-6292 STRUCTURAL HARNESS CLOSED BAND 1","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","DRAWING_DERIVED","1","0.045","UHMWPE webbing","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","Finished MAKE article from exact X-6292 raw webbing; lot CoC and proof record required."
"DF8-R2-HARNESS-BAND-2","A","X-6292 STRUCTURAL HARNESS CLOSED BAND 2","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","DRAWING_DERIVED","1","0.045","UHMWPE webbing","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","Finished MAKE article from exact X-6292 raw webbing; lot CoC and proof record required."
"DF8-R2-HARNESS-LEG-XN","A","X-6292 TERMINAL HARNESS LEG XN","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","DRAWING_DERIVED","1","0.0075","UHMWPE webbing","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","Finished MAKE article; lot CoC, stitch traveler and proof record required."
"DF8-R2-HARNESS-LEG-XP","A","X-6292 TERMINAL HARNESS LEG XP","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","DRAWING_DERIVED","1","0.0075","UHMWPE webbing","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","Finished MAKE article; lot CoC, stitch traveler and proof record required."
"DF8-R2-HARNESS-LEG-YN","A","X-6292 TERMINAL HARNESS LEG YN","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","DRAWING_DERIVED","1","0.0075","UHMWPE webbing","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","Finished MAKE article; lot CoC, stitch traveler and proof record required."
"DF8-R2-HARNESS-LEG-YP","A","X-6292 TERMINAL HARNESS LEG YP","MAKE","Sturges X-6292 raw webbing / STINGRAY finished assembly","DRAWING_DERIVED","1","0.0075","UHMWPE webbing","https://www.sturgesmfgco.com/webbing/engineered-webbing/uhmwpe/","Finished MAKE article; lot CoC, stitch traveler and proof record required."
"DF8-R2-LINK-PIN-004","B","4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE","MAKE","STINGRAY custom","DRAWING_DERIVED","6","0.001443346409243244","17-4PH stainless steel","",""
"DF8-R2-NOSE-001","A","TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","2.2173158326782247","Tungsten heavy alloy","",""
"DF8-R2-PIVOT-BUSH-008","A","8 MM PEEK-LINED PIVOT BUSHING","MAKE","STINGRAY custom","DRAWING_DERIVED","6","8.808849871477256E-06","PEEK","",""
"DF8-R2-PIVOT-CARRIER-001","D","MATCHED DOUBLE-SHEAR PIVOT LUG SET WITH SWEPT BELL-CLEVIS ACCESS AND OBLIQUE STOP-LAND BORES","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.0027069509237137527","Ti-6Al-4V","",""
"DF8-R2-PIVOT-PIN-008","C","8 MM CAPTIVE SHOULDER PIVOT PIN WITH VSM-8 CATALOG GROOVE","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.008675503714658497","17-4PH stainless steel","",""
"DF8-R2-PIVOT-WASHER-008","A","8 MM PEEK THRUST WASHER","MAKE","STINGRAY custom","DRAWING_DERIVED","6","1.4016322438141084E-05","PEEK","",""
"DF8-R2-PUNCTURE-HEAD-001","A","CARTRIDGE PUNCTURE HEAD WITH CONTROLLED NEEDLE","MAKE","STINGRAY custom","DRAWING_DERIVED","4","0.005044827355516814","17-4PH stainless steel","",""
"DF8-R2-RECOVERY-E-RING-006","A","6 MM RECOVERY PIN EXTERNAL RETAINER","MAKE","STINGRAY custom","DRAWING_DERIVED","2","6.738960987628341E-05","1.4310 stainless spring steel","",""
"DF8-R2-RECOVERY-PIN-006","B","6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE","MAKE","STINGRAY custom","DRAWING_DERIVED","2","0.003134187821530512","17-4PH stainless steel","",""
"DF8-R2-ROUTED-LONGERON-001","A","PRIMARY LONGERON WITH TWO JIG-BORED ROUTE CHANNELS","MAKE","STINGRAY custom","DRAWING_DERIVED","2","0.04893863708337827","Ti-6Al-4V","",""
"DF8-R2-SHORT-LINK-001","A","19.950 MM CENTER-DISTANCE REAMED SHORT LINK","MAKE","STINGRAY custom","DRAWING_DERIVED","6","0.0008587191047231816","17-4PH stainless steel","",""
"DF8-R2-STOW-DOG-001","B","CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.0007049382892415685","17-4PH stainless steel","",""
"DF8-R2-STOW-DOG-GUIDE-001","A","FULL-STROKE AFT-RING-MOUNTED STOW-DOG U-GUIDE","MAKE","STINGRAY custom","DRAWING_DERIVED","3","0.0005306774018234694","17-4PH stainless steel","",""
"DF8-R2-STOW-DOG-INHIBIT-KEEPER-001","A","CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN","MAKE","STINGRAY custom","DRAWING_DERIVED","3","3.948942128413097E-06","1.4310 stainless spring steel","","External keeper remains seated on and translates with the headed inhibit pin in both retained and withdrawn endpoint states."
"DF8-R2-STOW-DOG-INHIBIT-PIN-001","A","WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN","MAKE","STINGRAY custom","DRAWING_DERIVED","3","5.93375184680702E-05","17-4PH stainless steel","",""
"DF8-R2-STOW-DOG-RETURN-SPRING-001","A","CAPTIVE STOW-DOG RADIAL RETURN SPRING","MAKE","STINGRAY custom","DRAWING_DERIVED","3","3.195904507999331E-07","1.4310 stainless spring steel","","Endpoint B-reps bound the full radial dog stroke; spring is captured between the integral guide bridge and dog inboard face."
"DF8-R2-STRUCT-RING-PLAIN-001","B","PRIMARY STRUCTURAL TRANSITION RING WITH FOUR TAPPED CARRIER LANDS","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.032840797031319716","Ti-6Al-4V","",""
"DF8-R2-STRUCT-RING-ROUTED-001","B","STRUCTURAL RING WITH ROUTE PASSAGES, ARM RELIEFS AND FULLFLOW CIRCLIP REACTION CAGE","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.02919397307644832","Ti-6Al-4V","",""
"DF8-R2-TETHER-THIMBLE-001","A","AMSTEEL EYE-SPLICE THIMBLE","MAKE","STINGRAY custom","DRAWING_DERIVED","2","0.0028967149754297837","316 stainless steel","",""
"DF8-R2-WATER-INLET-001","A","RADIAL FLOOD INLET, GLAND AND ANTI-DEBRIS SCREEN","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.0015283722596008199","316 stainless steel","",""
"DF8-R2-WATER-TRIGGER-HSG-001","A","CENTRAL WATER-SENSITIVE TRIGGER HOUSING","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.006081255505730682","Acetal","",""
"DF8-WATER-BOBBIN-SERVICE-CAP-001","A","CAPTIVE WATER-BOBBIN THREADED/BAYONET SERVICE CAP","MAKE","STINGRAY custom","DRAWING_DERIVED","1","0.004832430804544925","316 stainless steel","","Controlled MAKE cap; requires integral opposite housing shoulder, positive lock and tool-access proof."
"GN-615.3-M3-KN-PFB","CATALOG","JW WINCO M3 STAINLESS BALL PLUNGER","BUY","JW Winco / Ganter","DRAWING_DERIVED","4","0.000482889","AISI 303 housing / hardened AISI 420C ball / AISI 631 spring / PFB polyamide patch","https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Spring-plungers/GN-615.3-Steel-Stainless-Steel-Ball-Plungers-with-thread-locking-with-ball-with-internal-hexagon","Exact GN 615.3 M3 KN PFB identity; 8.0 mm housing length, 1.5 mm ball travel, 3.0/4.5 N initial/final spring load; incoming dimensional/material verification and four-place seating-force inspection. Explicit mass is the 61.1253 mm3 authored catalog envelope at the controlled mixed-stainless density basis (~7.9e-6 kg/mm3)."
"GS-19-50-V4A-B8-B8","R2-INSTALL","ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY","BUY","ACE Controls","DRAWING_DERIVED","1","0.124","AISI 316L / 316Ti stainless catalog assembly","https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html","Configured GS-19-50-V4A-B8-B8, 50 mm stroke, 164.1 mm extended length, 7.9 mm rod and 300±30 N setting. The controlled ACE STEP ITEM_020_ACE_GS_19_50_V4A_B8_B8_VENDOR.stp is the dimensional/interface verification source; this separated body/rod BREP is a drawing-derived articulated installation representation. Occurrence mass allocation is 0.124 kg body + 0.020 kg rod = 0.144 kg catalog assembly total."
"GS-19-50-V4A-B8-B8-ROD-CHILD","R2-INSTALL","ACE GS-19 MOVING ROD ARTICULATION CHILD","BUY","ACE Controls","DRAWING_DERIVED","1","0.02","AISI 316L / 316Ti stainless catalog assembly","https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html","Included articulation child of the configured GS-19 purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.144 kg parent assembly. Drawing-derived child verified against the controlled ACE STEP."
"HBD-15-25-AA-P","R2-INSTALL","ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY","BUY","ACE Controls","DRAWING_DERIVED","1","0.19","Black-anodized aluminum body / hard-chrome steel rod / zinc-plated steel AA-P fittings","https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html","Configured HBD-15-25-AA-P, 24.9 mm stroke, 145.0 mm extended length, 15 mm body and 6.1 mm rod. The controlled ACE source ACE_HBD_15_25_AA_P_DRAWING_DERIVED_NOT_VENDOR_CAD_AP242.step verifies the configured envelope/interfaces; this separated body/rod BREP is a drawing-derived articulated installation representation. External travel stops limit motion 1.0-1.5 mm before stroke ends. Occurrence mass allocation is 0.190 kg body + 0.030 kg rod = 0.220 kg catalog assembly total."
"HBD-15-25-AA-P-ROD-CHILD","R2-INSTALL","HBD MOVING ROD ARTICULATION CHILD","BUY","ACE Controls","DRAWING_DERIVED","1","0.03","Hard-chrome steel rod with zinc-plated steel AA-P fitting","https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html","Included articulation child of the configured HBD purchased assembly; no separate purchase quantity. Occurrence-level mass allocation reconciles with the 0.220 kg parent assembly. Drawing-derived child verified against the controlled ACE source."
"HDP-3-8-A1","ACCU-CATALOG","3 MM X 8 MM DOWEL PIN, DIN 7, M6 TOLERANCE","BUY","Accu","DRAWING_DERIVED","6","0.00047","316 stainless steel","https://www.accu.co.uk/dowel-pins/72653-HDP-3-8-A1","Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 47 g per 100; diameter tolerance +0.002/+0.008 mm and 0.45 mm radius length."
"HEC-10-A4","ACCU-CATALOG","10 MM EXTERNAL CIRCLIP, DIN 471","BUY","Accu","DRAWING_DERIVED","1","0.00041","1.4310 stainless spring steel","https://www.accu.co.uk/external-circlips/629101-HEC-10-A4","Official Accu product identity and nominal dimensions verified 2026-08-22; Official mass 41 g per 100; 1.0 mm thickness, 9.3 mm ID, 17 mm clearance diameter, 9.6 x 1.1 mm shaft groove."
"HTP-3-30-A1","ACCU-CATALOG","3 MM X 30 MM TAPER PIN, DIN 1B","BUY","Accu","DRAWING_DERIVED","1","0.002032641862799132","316 stainless steel","https://www.accu.co.uk/taper-pins/389498-HTP-3-30-A1","Official Accu product identity and nominal dimensions verified 2026-08-22; Nominal 3.0 mm small diameter, 3.6 mm large diameter and 30 mm length; mass from exact nominal B-rep at 7.90 g/cm3."
