"candidate_id","df8_function_replaced","current_custom_partdefs","screened_make_definition_count","manufacturer","exact_mpn","description","material","finish","dimensions","mass","pressure_or_load_or_cycle_rating","environmental_compatibility","product_page","official_drawing","official_cad","availability_status","alternate_source","coc_posture","required_custom_adapter","architecture_impact","qualification_burden","selection_status","selection_rationale","evidence_retrieved_utc"
"C-011","Guided 16 N/mm backup spring","DF8-R2-BACKUP-SPRING-16N-001","1","Lee Spring","LHL 625D 12","HEFTY compression spring","Music wire","UNVERIFIED","15.88 mm OD; 203.2 mm free length; 139.7 mm solid height","0.12 kg","11.909 N/mm published rate","No stainless or submerged corrosion suitability in exact catalog item","https://www.leespring.com/compression-springs/1","Manufacturer catalog table","UNVERIFIED","Catalog orderable","Controlled custom DF8 spring","CoC availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Would require force/seat redesign","HIGH","Force-travel mismatch","REJECTED","Fails the controlled approximately 16 N/mm and maximum 138 mm solid-height envelope; owner commission explicitly forbids forcing it into the design.","2026-08-24T08:35:05Z"
"C-012","WP04 buoy ejector spring","DF8-FINAL-WP04-EJECTOR-SPRING-001","1","Gutekunst Federn","VD-244","Catalog compression spring","EN 10270-3 1.4310 stainless spring wire","Passivated state UNVERIFIED","Exact official dimensions in manufacturer page/datasheet; controlled catalog-derived geometry already exists","UNVERIFIED","Manufacturer load/rate table exists; incoming verification required","Stainless material suitable for screening; saltwater fatigue/crevice behavior UNVERIFIED","https://www.federnshop.com/en/products/compression_springs/vd-244.html","Manufacturer datasheet recorded in baseline package","Manufacturer portal advertises STEP/STL/IGES; authentic binary not captured","Catalog identity recorded; live stock UNVERIFIED","Gutekunst direct","CoC/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","None expected if final-cleanup fit is confirmed","LOW-MEDIUM","Incoming rate/free length/solid height; saltwater cycle; exact-source CAD","SELECTED_FOR_QUALIFICATION","The final-cleanup package already contains catalog-derived VD-244 geometry; convert MAKE to BUY only after exact-fit and receiving evidence.","2026-08-24T08:35:05Z"
"C-013","8 mm pivot bushing","DF8-R2-PIVOT-BUSH-008","1","igus","GFM-081013-08","iglide G metric flange bearing","iglide G polymer","Molded","8 mm ID; 10 mm housing OD; 13 mm flange OD; 8 mm length; 1 mm flange","UNVERIFIED","Catalog dimensional/tolerance data; application load/life not yet calculated","Self-lubricating and corrosion-resistant polymer; water absorption and saltwater wear for DF8 UNVERIFIED","https://www.igus.com/ContentData/Products/Downloads/iglide_G300_FM_USen.pdf","Official catalog drawing","Manufacturer CAD portal","Catalog orderable; live stock UNVERIFIED","igus direct","CoC/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Housing-bore and axial-stack verification","LOW-MEDIUM","Press fit; wet wear; sand contamination; load/life; galvanic isolation","SELECTED_FOR_QUALIFICATION","Exact 8/10/13 x 8 mm catalog geometry is a credible replacement lead; fit remains unverified against provisional CAD.","2026-08-24T08:35:05Z"
"C-014","8 mm pivot thrust washer","DF8-R2-PIVOT-WASHER-008","1","igus","GTM-0815-005","iglide G metric thrust washer","iglide G polymer","Molded","8 mm ID x 15 mm OD x 0.5 mm thick","UNVERIFIED","Catalog geometry; DF8 thrust load/life UNVERIFIED","Self-lubricating and corrosion-resistant polymer; saltwater wear UNVERIFIED","https://www.igus.com/iglide-ibh/thrust-washers","Official catalog drawing","Manufacturer CAD portal","Catalog page lists short delivery; procurement evidence not captured","igus direct","CoC/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Axial-stack shim may be required","LOW-MEDIUM","Wet thrust wear; stack tolerance; load/life","SELECTED_FOR_QUALIFICATION","Exact catalog washer is suitable for a fit coupon and wet-wear qualification; 0.5 mm stack compatibility remains unverified.","2026-08-24T08:35:05Z"
"C-015","8 mm pivot retention","DF8-R2-PIVOT-SPIRAL-RING-008","1","Smalley","VSM-8-S16","External single-turn Spirolox retaining ring in 316 stainless suffix","316 stainless steel suffix S16","Natural","8 mm shaft; 7.60 +/-0.05 mm groove diameter; 0.46 +0.05/-0.00 mm groove width; 0.38 +/-0.04 mm thick","UNVERIFIED","3183 N ring shear and 780 N groove yield values published for VSM-8 basis","316 SS material; saltwater crevice and installation damage remain to verify","https://www.smalley.com/ring/vsm-8","Manufacturer page/PDF datasheet","Manufacturer CAD gated by contact form","Samples/quote offered; exact S16 live stock UNVERIFIED","Smalley factory direct","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Groove recut only if provisional groove differs","LOW-MEDIUM","Exact groove; axial load; removal/reuse policy; saltwater cycles","SELECTED_FOR_QUALIFICATION","Exact 8 mm catalog ring with documented load basis; select S16 only after factory confirms suffix and certificate options.","2026-08-24T08:35:05Z"
"C-016","4 mm low-clearance pin retention consolidation","DF8-R2-ACTUATOR-E-RING-004;WP04-LATCH-SEAR-E-RING-R2","2","Rotor Clip","DC-4SS","Metric external crescent retaining ring","Stainless steel exact grade UNVERIFIED","Natural","4 mm shaft family; exact groove data on manufacturer page","UNVERIFIED","Manufacturer ring/groove load basis; DF8 loads UNVERIFIED","Stainless material; submerged crevice behavior UNVERIFIED","https://www.rotorclip.com/product/dc-4/","Manufacturer product page/catalog","Manufacturer nominal installed CAD available","Existing DF8 catalog identity; live stock UNVERIFIED","Rotor Clip authorized distributors","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","None if grooves match existing DC-4SS definition","LOW","Groove equivalence; axial load; retention after repeated service","SELECTED_FOR_QUALIFICATION","Reuse one existing COTS definition for two custom ring definitions, subject to exact groove and load confirmation.","2026-08-24T08:35:05Z"
"C-017","3 mm service-door hinge-pin retention","WP05-HINGE-CRESCENT-RING-R2","1","Rotor Clip","DC-3SS - EXACT SKU UNVERIFIED","Metric external crescent retaining ring","Stainless steel exact grade UNVERIFIED","Natural","3 mm shaft; groove diameter 2.23-2.30 mm; groove width 0.44 mm; outside diameter 3.98 mm","UNVERIFIED","0.5 kN ring thrust and 0.24 kN groove thrust published for family","Stainless option exists; exact SS SKU availability and saltwater crevice behavior UNVERIFIED","https://www.rotorclip.com/product/dc-3/","Manufacturer product page/catalog","Manufacturer nominal installed CAD available","DC-3 page lists only a steel SKU publicly; stainless exact SKU requires quote","Rotor Clip factory","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","None if groove matches","LOW-MEDIUM","Factory confirmation of exact stainless SKU; groove/load; service reuse","DEFERRED","The geometry is credible, but no exact orderable stainless MPN was verified; a proposed naming pattern is not a selection.","2026-08-24T08:35:05Z"
"C-018","6 mm recovery-pin retention","DF8-R2-RECOVERY-E-RING-006","1","Rotor Clip","DC-6SS - EXACT SKU UNVERIFIED","Metric external crescent retaining ring","Stainless steel exact grade UNVERIFIED","Natural","6 mm shaft; groove diameter 4.93-5.00 mm; groove width 0.74 mm; outside diameter 7.4 mm","UNVERIFIED","Manufacturer performance table; exact stainless value and DF8 recovery load UNVERIFIED","Stainless option exists; saltwater crevice behavior UNVERIFIED","https://www.rotorclip.com/product/dc-6/","Manufacturer product page/catalog","Manufacturer nominal installed CAD available","Exact stainless SKU requires quote/live-stock confirmation","Rotor Clip factory","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","None if groove matches","MEDIUM","Exact stainless SKU; recovery-load proof; groove; two-fault retention; service reuse","DEFERRED","No exact orderable stainless MPN or recovery-load proof was verified; remain deferred.","2026-08-24T08:35:05Z"
"C-019","Standardized pivot/link/actuator/recovery pins","DF8-R2-PIVOT-PIN-008;DF8-R2-LINK-PIN-004;DF8-R2-ACTUATOR-PIN-004;DF8-R2-RECOVERY-PIN-006","4","JW Winco / Ganter","GN 2342 family; no exact 4/6 mm DF8 configuration verified","Stainless assembly pins with washer and optional cross hole","AISI 304 pin; washer AISI 304 or 316LHC","Natural","Catalog public table begins at 8 mm in reviewed page; DF8 grip lengths UNVERIFIED","UNVERIFIED","Double-shear ratings referenced but exact configurations not established","Corrosion-resistant for outdoor/aggressive conditions; saltwater and crevice behavior UNVERIFIED","https://www.jwwinco.com/en-us/products/3.1-Indexing-locking-blocking-with-pins-and-ball-shaped-elements/Rapid-release-pins/GN-2342-Stainless-Steel-Assembly-pins","https://live-catalog.jwwinco.com/pdf/winco/us/2342.pdf?dispositiontype=attachment","Official 3D view","Catalog orderable in listed sizes","norelem assembly pins","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Joint-width and retention redesign","MEDIUM-HIGH","Exact grip; shear; fatigue; captive retention; fabric-contact prohibition","DEFERRED","No exact orderable configuration was verified for all four DF8 pins; do not substitute a family name for a valid MPN.","2026-08-24T08:35:05Z"
"C-020","Automatic-lock guide/collar","DF8-R2-AUTO-LOCK-BUSHING-001","1","JW Winco / Ganter","705-8-E-NI","8 mm stainless set-screw shaft collar","AISI 303 stainless steel","Natural","8 mm bore; 16 mm OD; 8 mm width; M4x6 set screw","UNVERIFIED","No DF8 lock-guide bearing rating","Corrosion-resistant standard part; AISI 303 saltwater suitability is inferior to 316 and UNVERIFIED","https://www.jwwinco.com/en-us/products/product-family/Stainless-Steel/GN-705-Stainless-Steel-Set-Collars","Manufacturer standard sheet","Official 3D view","Catalog orderable","GN 706.2 split collar","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Major guide/locking-interface redesign","HIGH","Functional mismatch; corrosion; retention","REJECTED","A set collar does not provide the press-fit guide/bearing function of the current PEEK lock bushing.","2026-08-24T08:35:05Z"
"C-021","Short-link and 4 mm pin subassembly","DF8-R2-SHORT-LINK-001","1","JW Winco / Ganter","751-4-8-M4-A-NI","Stainless clevis fork joint with circlip","Stainless steel","Natural","4 mm pin; 8 mm clevis dimension; M4 thread; full dimensions on official page","UNVERIFIED","Load rating for DF8 mechanism not established","Stainless; submerged articulation and galling UNVERIFIED","https://www.jwwinco.com/en-us/products/product-family/Stainless-Steel/GN-751-Stainless-Steel-Clevis-Fork-Joint-With-Circlip","Manufacturer page/drawing","Official 3D view","Catalog orderable","Ganter direct","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Threaded crosshead/arm adapters","HIGH","19.950 mm center distance; articulation; fatigue; motion envelope","DEFERRED","Exact catalog identity exists but it does not establish the controlled link center distance or motion clearance.","2026-08-24T08:35:05Z"
"C-022","Bowden sheath and inner wire","DF8-FINAL-BOWDEN-SHEATH-001;DF8-FINAL-BOWDEN-WIRE-001","2","Cablecraft Motion Controls","33C marine control cable family; exact MPN UNVERIFIED","Configured push-pull control cable","Materials/finish for exact configuration UNVERIFIED","UNVERIFIED","Required DF8 length/end fittings/bend radius UNVERIFIED","UNVERIFIED","Load/travel/cycle/environment ratings for an exact MPN UNVERIFIED","Marine family lead only; external-pressure ingress and cold bend friction UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","Manufacturer configuration required","Teleflex/Morse marine cable family","CoC/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","End fittings and ring gland","MEDIUM","Wet friction; pressure ingress; bend radius; stroke; resetability","DEFERRED","No exact manufacturer configuration or official evidence was verified within the bounded research window.","2026-08-24T08:35:05Z"
"C-023","Gas main/pilot/feed tubing and bulkhead interfaces","DF8-R2-BOOSTER-COLLECTION-LINE-001;DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001;DF8-FINAL-GAS-MAIN-001;DF8-FINAL-PILOT-LINE-001;DF8-FINAL-GAS-MAIN-RING-GLAND;DF8-FINAL-PILOT-LINE-RING-GLAND","6","Swagelok","SS-T2-S-035-6ME + SS-200-1-2BT","1/8 in 316/316L seamless tubing plus bored-through male connectors","316/316L stainless tubing; 316 SS fittings","Standard cleaning","1/8 in OD x 0.035 in wall x 6 m tubing; 1/8 in tube x 1/8 in MNPT fittings","0.05 kg/m tubing; fitting mass UNVERIFIED","Tubing 10900 psig catalog allowable at -28 to 37 C; assembly rating is lowest component and UNVERIFIED","Material is corrosion-suitable for screening; saltwater crevice at fittings and external pressure UNVERIFIED","https://www.swagelok.com/downloads/webcatalogs/en/MS-01-181.PDF","https://products.swagelok.com/en/c/straights/p/SS-200-1-2BT","Manufacturer fitting CAD; tubing no rigid CAD needed","Catalog orderable; exact cut/termination assembly not orderable as one verified MPN","Parker A-LOK tubing/fittings","Supplier CoC/material/heat availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Custom cut/bend and bulkhead mounting remain","MEDIUM","Routing; bend; vibration; leakage; cold flow; fitting make-up; pressure cycling","DEFERRED","Catalog raw tubing/fittings do not eliminate the custom terminated line assemblies or establish fit; retain as a procurement architecture lead.","2026-08-24T08:35:05Z"
"C-024","Recovery tether and thimble assembly","AMSTEEL-BLUE-872-7-64-R2;DF8-R2-TETHER-THIMBLE-001","2","Samson Rope Technologies","AmSteel-Blue product code 872, 7/64 in; finished assembly MPN UNVERIFIED","HMPE 12-strand rope with engineered eye splices","Dyneema HMPE","Blue","7/64 in rope; controlled finished length and eye geometry remain DF8-specific","UNVERIFIED","1400 lbf manufacturer minimum strength for rope; finished termination basis UNVERIFIED","Wet use is plausible; UV/chafe/bend/creep/dynamic seawater qualification remains","https://www.samsonrope.com/mooring/amsteel--blue","Manufacturer product guide and splice instructions","No rigid CAD expected","Raw rope catalog identity verified; finished certified assembly source UNVERIFIED","Samson engineering/fabrication services","Finished-sling CoC/proof/serial traceability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","DF8 terminal and proof-loaded eye configuration","MEDIUM","Splice proof; wet creep; chafe; shock; terminal bend; traceable fabrication","DEFERRED","Raw rope is COTS but the finished two-eye recovery assembly remains custom until an orderable proof-certified configuration is established.","2026-08-24T08:35:05Z"
"C-025","Stowed/deployed latch consolidation","DF8-R2-FIXED-STOP-001;DF8-R2-STOW-DOG-001;DF8-R2-STOW-DOG-GUIDE-001;DF8-R2-STOW-DOG-RETURN-SPRING-001;DF8-R2-AUTO-LOCK-DOG-001;DF8-R2-AUTO-LOCK-SPRING-001","6","Southco","R4-10-20-901-20","Small single-stage stainless rotary push-to-close latch","Stainless steel","Passivated","Small R4 envelope; 7.2 mm through mounting; exact drawing available","UNVERIFIED","R4 stainless family average ultimate load 4000 N; dynamic DF8 lock basis UNVERIFIED","Manufacturer calls stainless styles suitable for marine/off-highway; submerged operation and fouling UNVERIFIED","https://shop.southco.com/en_us/r4-10-20-901-20","https://media.southco.com/media/static/Literature/R4r.en.pdf","Manufacturer CAD download offered","Online orderable; authorized-distributor stock shown","Bisco Industries","CoC/material/lot availability UNVERIFIED; RECEIVED-ITEM COC NOT VERIFIED","Dual latch/striker and Bowden actuation redesign","VERY HIGH","Fail-safe state; fouling; hydrostatic operation; shock; fatigue; manual reset; motion clearance","DEFERRED","High potential definition reduction but it materially changes stop/lock architecture and cannot enter the targeted retrofit without owner-approved redesign.","2026-08-24T08:35:05Z"
