"part_number","description","make_buy_baseline","manufacturer","material","classification","source_package","source_item_number","make_buy_source","functional_role_category","proposed_substitution_mpn","proposed_vendor","decision","decision_rationale","catalog_fit_verified","procurement_ready","primary_url","recorded_at_utc"
"DF8-R2-PUNCTURE-HEAD-001","CARTRIDGE PUNCTURE HEAD WITH CONTROLLED NEEDLE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BOOSTER-RESERVOIR-001","13 OD X 11 ID X 430 BOOSTER RESERVOIR WITH END BOSSES","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","316L-50DF4-150","Swagelok","REJECT_RETURN_TO_CUSTOM_BASELINE","Exact installed fit audit found the 48.2 mm commercial cylinder incompatible with preserved DF8 structure and routes; custom pressure function retained.","NO - DOES NOT FIT PRESERVED ARCHITECTURE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-50DF4-150","2026-08-24T13:47:00Z"
"DF8-R2-BOOSTER-BAND-001","CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001","PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","316L-50DF4-150","Swagelok","REJECT_RETURN_TO_CUSTOM_BASELINE","Exact installed fit audit found the 48.2 mm commercial cylinder incompatible with preserved DF8 structure and routes; custom pressure function retained.","NO - DOES NOT FIT PRESERVED ARCHITECTURE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-50DF4-150","2026-08-24T13:47:00Z"
"DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001","SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","316L-50DF4-150","Swagelok","REJECT_RETURN_TO_CUSTOM_BASELINE","Exact installed fit audit found the 48.2 mm commercial cylinder incompatible with preserved DF8 structure and routes; custom pressure function retained.","NO - DOES NOT FIT PRESERVED ARCHITECTURE","NO - NON-INSTALLED DEVELOPMENT ARTICLE","https://products.swagelok.com/en/c/dot-compliant-cylinders/p/316L-50DF4-150","2026-08-24T13:47:00Z"
"SS-CHS2-1","SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG","BUY","Swagelok","316 stainless purchased check-valve assembly","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://products.swagelok.com/en/c/fixed-pressure/p/SS-CHS2-1","2026-08-23T20:42:05Z"
"DF8-R2-BOOSTER-COLLECTION-LINE-001","SHORT 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-WATER-TRIGGER-HSG-001","CENTRAL WATER-SENSITIVE TRIGGER HOUSING","MAKE","STINGRAY custom","Acetal","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"V80040","HALKEY-ROBERTS WATER-SENSITIVE BOBBIN","BUY","Nordson MEDICAL / Halkey-Roberts","Water-sensitive media","EXISTING_COTS","WP03","","derived deterministically from source type","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://fluid-components.nordsonmedical.com/files/fluid-components-nordsonmedical-com/Technical%20Information/HRC/Hyrdo-1F-Manual-Automatic-Inflator-V80040-Bobbin-Instructions-For-Use.pdf","2026-08-23T20:42:05Z"
"DF8-R2-WATER-INLET-001","RADIAL FLOOD INLET, GLAND AND ANTI-DEBRIS SCREEN","MAKE","STINGRAY custom","316 stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-FULLFLOW-VALVE-001","DIRECT FULL-FLOW VALVE WITH BORED AXIAL AND RADIAL PORTS","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-MANIFOLD-FULLFLOW-FEED-001","TERMINATED COLLECTION-MANIFOLD TO FULL-FLOW VALVE FEED","MAKE","STINGRAY controlled pressure-route drawing","ASTM A269 TP316L seamless capillary tube","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-FINAL-MANIFOLD-FEED-SPRING-CLIP-001","LASER-WELDED TITANIUM SPRING CLIP FOR MANIFOLD FEED","MAKE","STINGRAY controlled route-support drawing","Ti-6Al-4V spring temper","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-FIXED-SECTOR-001","ANALYTIC CYLINDRICAL FIXED BODY SECTOR","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BACKUP-ACCESS-FIXED-SECTOR-003","FIXED SECTOR 3 WITH TWO RADIAL M3 BACKUP-GUIDE HEAD POCKETS","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-ROUTED-LONGERON-001","PRIMARY LONGERON WITH TWO JIG-BORED ROUTE CHANNELS","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BACKUP-GUIDE-LONGERON-003","PRIMARY LONGERON 3 WITH TWO RADIAL BACKUP-GUIDE M3 CLEARANCE BORES","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-ARM-BLADE-001","733.806 MM SMOOTH ANALYTIC HOLLOW OML ARM WITH SWEPT STOP-HARDWARE RELIEFS","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-PIVOT-CARRIER-001","MATCHED DOUBLE-SHEAR PIVOT LUG SET WITH SWEPT BELL-CLEVIS ACCESS AND OBLIQUE STOP-LAND BORES","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-PIVOT-PIN-008","8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-PIVOT-BUSH-008","8 MM PEEK-LINED PIVOT BUSHING","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","GFM-081013-08","igus","REJECT_RETURN_TO_CUSTOM_BASELINE","C-013 envelope mismatch and official iglide G guidance says not for underwater applications.","NO - ENVIRONMENTAL AND DIMENSIONAL FAIL","NO","https://www.igus.com/ContentData/Products/Downloads/iglide_G300_FM_USen.pdf","2026-08-24T13:47:00Z"
"DF8-R2-PIVOT-WASHER-008","8 MM PEEK THRUST WASHER","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","GTM-0815-005","igus","REJECT_RETURN_TO_CUSTOM_BASELINE","C-014 0.5 mm catalog thickness mismatches 0.18 mm authored stack and official iglide G guidance says not for underwater applications.","NO - ENVIRONMENTAL AND DIMENSIONAL FAIL","NO","https://www.igus.com/ContentData/Products/Downloads/iglide_G300_FM_USen.pdf","2026-08-24T13:47:00Z"
"DF8-R2-PIVOT-SPIRAL-RING-008","8 MM EXTERNAL SPIRAL PIVOT RETAINER","MAKE","STINGRAY custom","1.4310 stainless spring steel","IMPLEMENTED_COTS_CONVERSION","","","BUY","","VSM-8-S16","Smalley","ENGINEERING_ACCEPTED_IMPLEMENTED_PROCUREMENT_GATE_OPEN","VSM-8-S16 and revised 7.60 x 0.46 mm groove passed exact endpoint delta validation; procurement and received-item certification remain downstream.","YES - LOCAL GROOVE REVISION VALIDATED","PROCUREMENT / RECEIVING GATE OPEN","https://www.smalley.com/ring/vsm-8","2026-08-24T13:47:00Z"
"DF8-R2-SHORT-LINK-001","19.950 MM CENTER-DISTANCE REAMED SHORT LINK","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-LINK-PIN-004","4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"ROTOR-CLIP-DC-4SS","ROTOR CLIP DC-4SS CRESCENT RETAINING RING FOR 4 MM SHAFT","BUY","Rotor Clip","PH 15-7 Mo stainless spring steel","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.rotorclip.com/product/dc-4/","2026-08-23T20:42:05Z"
"DF8-R2-ARM-STOP-PAD-001","REPLACEABLE ARM STOP AND AUTOMATIC-LOCK STRIKE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-FIXED-STOP-001","80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-STOW-DOG-001","CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-STOW-DOG-GUIDE-001","FULL-STROKE AFT-RING-MOUNTED STOW-DOG U-GUIDE","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-STOW-DOG-RETURN-SPRING-001","CAPTIVE STOW-DOG RADIAL RETURN SPRING","MAKE","STINGRAY custom","1.4310 stainless spring steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-STOW-DOG-INHIBIT-PIN-001","WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-STOW-DOG-INHIBIT-KEEPER-001","CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN","MAKE","STINGRAY custom","1.4310 stainless spring steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-AUTO-LOCK-DOG-001","SPRING-DRIVEN POSITIVE DEPLOYED LOCK DOG","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-AUTO-LOCK-SPRING-001","CAPTIVE LONG-STROKE AUTOMATIC-LOCK COMPRESSION SPRING","MAKE","STINGRAY custom","1.4310 stainless spring steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-AUTO-LOCK-BUSHING-001","PRESS-FIT LOCK GUIDE OUTER RETAINER BUSHING","MAKE","STINGRAY custom","PEEK","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-CROSSHEAD-001","ONE-PIECE SIX-CLEVIS GUIDED COMMON CROSSHEAD","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-CROSSHEAD-GUIDE-001","CENTRAL DLC CROSSHEAD GUIDE SHAFT WITH SPIDER SHOULDER","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-CROSSHEAD-GUIDE-SPIDER-001","THREE-SPOKE CROSSHEAD-GUIDE FORWARD MOUNT","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BACKUP-SPRING-16N-001","CONTROLLED 16 N/MM GUIDED BACKUP COMPRESSION SPRING","MAKE","STINGRAY controlled spring specification","1.4310 stainless spring steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BACKUP-SPRING-FIXED-SEAT-001","BACKUP SPRING AFT FIXED SEAT WITH LONGERON MOUNTING TONGUE","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BACKUP-SPRING-MOVING-SEAT-001","BACKUP SPRING CROSSHEAD SEAT WITH PILOTED PERMANENT LAND","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-BACKUP-SPRING-GUIDE-001","BACKUP SPRING DLC GUIDE SHAFT WITH TWO FIXED SUPPORT SHOULDERS","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"GS-19-50-V4A-B8-B8","ACE GS-19-50-V4A-B8-B8 PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY","BUY","ACE Controls","AISI 316L / 316Ti stainless catalog assembly","EXISTING_COTS","WP02","WP02-016","derived deterministically from source classification","Primary arm drive","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html","2026-08-23T20:42:05Z"
"GS-19-50-V4A-B8-B8-ROD-CHILD","ACE GS-19 MOVING ROD ARTICULATION CHILD","BUY","ACE Controls","AISI 316L / 316Ti stainless catalog assembly","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.acecontrols.com/us/products/motion-control/industrial-gas-springs-push-type/gs-8-v4a-to-gs-40-va/gs-19-v4a.html","2026-08-23T20:42:05Z"
"HBD-15-25-AA-P","ACE HBD-15-25-AA-P PURCHASED ASSEMBLY — ARTICULATED INSTALLATION BODY","BUY","ACE Controls","Black-anodized aluminum body / hard-chrome steel rod / zinc-plated steel AA-P fittings","EXISTING_COTS","WP02","WP02-020","derived deterministically from source classification","Motion damping","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html","2026-08-23T20:42:05Z"
"HBD-15-25-AA-P-ROD-CHILD","HBD MOVING ROD ARTICULATION CHILD","BUY","ACE Controls","Hard-chrome steel rod with zinc-plated steel AA-P fitting","EXISTING_COTS","","","BUY","","","","NO_REPLACEMENT_SELECTED","Existing catalog/verified baseline source definition retained for this phase.","NO","NO","https://www.acecontrols.com/us/products/motion-control/hydraulic-dampers/hbd-15-to-hbd-40/hbd-15/hbd-15-25.html","2026-08-23T20:42:05Z"
"DF8-R2-ACTUATOR-FIXED-YOKE-GS19-001","DOUBLE-SHEAR GS19 ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-ACTUATOR-FIXED-YOKE-HBD-001","DOUBLE-SHEAR HBD ANCHOR YOKE WITH CONFORMAL LONGERON TONGUE","MAKE","STINGRAY custom","Ti-6Al-4V","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-ACTUATOR-PIN-004","4 MM CAPTIVE ACTUATOR CLEVIS PIN","MAKE","STINGRAY custom","17-4PH stainless steel","CUSTOM_REMAINDER","","","MAKE","","","","NO_REPLACEMENT_SELECTED","Must remain custom pending architecture-safe catalog replacement evidence.","NO","NO","","2026-08-23T20:42:05Z"
"DF8-R2-ACTUATOR-E-RING-004","4 MM ACTUATOR PIN RETAINER","MAKE","STINGRAY custom","1.4310 stainless spring steel","IMPLEMENTED_COTS_CONVERSION","","","BUY","","DC-4SS","Rotor Clip","ENGINEERING_ACCEPTED_IMPLEMENTED_PROCUREMENT_GATE_OPEN","DC-4SS and revised actuator-pin grooves passed exact endpoint delta validation for GS-19/HBD-15 retainers.","YES - LOCAL GROOVE REVISION VALIDATED","PROCUREMENT / RECEIVING GATE OPEN","https://www.rotorclip.com/product/dc-4/","2026-08-24T13:47:00Z"
