part_number,physical_title,description,revision,make_buy,manufacturer,quantity_stowed,quantity_deployed,material,finish,mass_each_kg,cad_classification,source_url,purchase_url,process,notes,verification_status
DF8-R2-FIXED-STOP-001,80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS,80 DEGREE SWEPT-CLEARANCE FIXED STOP WITH CONTROLLED AUTOMATIC-LOCK BUSHING SEAT,E,MAKE,STINGRAY custom,3,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.0023936337070524028,DRAWING_DERIVED,,,5-axis mill; wire EDM lock guide and controlled PEEK-bushing seat; occurrence-match drill two M3 clearance and ream two H7 side-land bores; grind stop faces; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-LINK-PIN-004,4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS,4 MM FULL-SPAN LINK PIN WITH DC-4SS RETAINER GROOVE,B,MAKE,STINGRAY custom,6,6,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.001443346409243244,DRAWING_DERIVED,,,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-NOSE-001,Penetrator_Nose_W,TUNGSTEN PENETRATOR NOSE WITH OCCURRENCE-MATCHED TAPERED REAMED HALF BORE,A,MAKE,STINGRAY custom,1,1,Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,2.2173158326782247,DRAWING_DERIVED,,,"CNC turn and grind; ASTM B777 Class 4 W-Ni-Fe product form, density >=18.0 g/cm3; heat/lot CoC; density verification; UT for internal discontinuities; ground datum inspection",,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-PIVOT-BUSH-008,8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK,8 MM PEEK-LINED PIVOT BUSHING,A,MAKE,STINGRAY custom,6,6,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",8.808849871477256e-06,DRAWING_DERIVED,,,Turn and press fit; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-PIVOT-PIN-008,8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS,8 MM CAPTIVE SHOULDER PIVOT PIN WITH EXTERNAL GROOVE,B,MAKE,STINGRAY custom,3,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.008671747528307096,DRAWING_DERIVED,,,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-PIVOT-SPIRAL-RING-008,8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS,8 MM EXTERNAL SPIRAL PIVOT RETAINER,A,MAKE,STINGRAY custom,3,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,9.513648371968046e-05,DRAWING_DERIVED,,,Wire form; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-PIVOT-WASHER-008,8_MM_PEEK_THRUST_WASHER_PEEK,8 MM PEEK THRUST WASHER,A,MAKE,STINGRAY custom,6,6,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",1.4016322438141084e-05,DRAWING_DERIVED,,,Turn; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-RECOVERY-PIN-006,6_MM_CAPTIVE_RECOVERY_TERMINAL_PIN_WITH_RETAINER_GROOVE_SS,6 MM CAPTIVE RECOVERY TERMINAL PIN WITH RETAINER GROOVE,B,MAKE,STINGRAY custom,1,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.003134187821530512,DRAWING_DERIVED,,,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-SHORT-LINK-001,19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS,19.950 MM CENTER-DISTANCE REAMED SHORT LINK,A,MAKE,STINGRAY custom,6,6,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.0008587191047231816,DRAWING_DERIVED,,,Wire EDM; H900; ream; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-STOW-DOG-001,CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS,CAPTIVE RADIAL STOWED-RETENTION DOG WITH TRANSPORT-INHIBIT BORE,B,MAKE,STINGRAY custom,3,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,0.0007049382892415685,DRAWING_DERIVED,,,Wire EDM and grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS,CAPTIVE CRESCENT RETAINER FOR TRANSPORT-INHIBIT PIN,A,MAKE,STINGRAY custom,3,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,3.948942128413097e-06,DRAWING_DERIVED,,,Stamp; deburr; passivate; inspect seating in occurrence-matched pin groove; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,External keeper remains seated on and translates with the headed inhibit pin in both retained and withdrawn endpoint states.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-STOW-DOG-INHIBIT-PIN-001,WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS,WITHDRAWABLE HEADED TRANSPORT-INHIBIT PIN,A,MAKE,STINGRAY custom,3,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,5.93375184680702e-05,DRAWING_DERIVED,,,Swiss turn; H900; grind; tether-feature inspection; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-STOW-DOG-RETURN-SPRING-001,CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS,CAPTIVE STOW-DOG RADIAL RETURN SPRING,A,MAKE,STINGRAY custom,3,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,3.195904507999331e-07,DRAWING_DERIVED,,,Micro-coil; stress relieve; inspect installed force and 0.28-3.78 mm working stroke; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,Endpoint B-reps bound the full radial dog stroke; spring is captured between the integral guide bridge and dog inboard face.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-R2-TETHER-THIMBLE-001,AMSTEEL_EYE-SPLICE_THIMBLE_SS,AMSTEEL EYE-SPLICE THIMBLE,A,MAKE,STINGRAY custom,2,2,316 stainless steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,0.0028967149754297837,DRAWING_DERIVED,,,Stamp and form; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-AFT-CAP-001,SHORTENED_BODY_AFT_CAP_WITH_TETHER_SERVICE_PASSAGE_TI,SHORTENED BODY AFT CAP WITH TETHER SERVICE PASSAGE,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.03852351979077313,EXACT_ANALYTIC,,,5-axis mill; machine chafe-safe service passage; bolt and safety-wire to closure ring; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-AFT-CLOSURE-RING-001,AFT_STRUCTURAL_CLOSURE_RING_TI,AFT STRUCTURAL CLOSURE RING,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.03107333460038692,EXACT_ANALYTIC,,,Mill-turn; weld to shell; face grind; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-AFT-LONGERON-AFT-001,AFT_PRIMARY_LOAD-PATH_LONGERON_AFT_TI,AFT PRIMARY LOAD-PATH LONGERON AFT,A,MAKE,STINGRAY custom,3,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.0014266960518677578,EXACT_ANALYTIC,,,5-axis mill; qualified longitudinal shell weld; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-AFT-LONGERON-FWD-001,AFT_PRIMARY_LOAD-PATH_LONGERON_FWD_TI,AFT PRIMARY LOAD-PATH LONGERON FWD,A,MAKE,STINGRAY custom,3,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.02667675634914794,EXACT_ANALYTIC,,,5-axis mill; qualified longitudinal shell weld; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-AFT-SHELL-CLOSURE-001,SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_CLOSURE_SEGMENT_TI,SHORTENED AFT GRADE-9 TITANIUM SHELL CLOSURE SEGMENT,A,MAKE,STINGRAY custom,1,1,Ti-3Al-2.5V Grade 9,ASTM B600 clean/passivate; drawing-controlled shell finish,0.03782690138875042,EXACT_ANALYTIC,,,Cold draw; trim; machine radiused tether/thimble passage; laser weld to recovery and closure rings; ASTM B338 Grade 9 tube/product form; heat/lot CoC; qualified argon-purged laser-weld WPS; PT and borescope inspection; alpha-case removal; CMM final inspection,Rounded +X exit continues through the aft shell segment without interrupting the three primary longerons.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-AFT-SHELL-FORWARD-001,SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_FORWARD_SEGMENT_TI,SHORTENED AFT GRADE-9 TITANIUM SHELL FORWARD SEGMENT,A,MAKE,STINGRAY custom,1,1,Ti-3Al-2.5V Grade 9,ASTM B600 clean/passivate; drawing-controlled shell finish,0.7273446071334247,EXACT_ANALYTIC,,,Cold draw; trim; machine radiused tether/thimble passage; laser weld to termination and recovery rings; ASTM B338 Grade 9 tube/product form; heat/lot CoC; qualified argon-purged laser-weld WPS; PT and borescope inspection; alpha-case removal; CMM final inspection,Rounded +X exit prevents structural tether and body-thimble contact with the shell edge.,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-ARM-BLADE-001,378.206_MM_PIVOT-TO-TIP_SHORTENED_ARM_BLADE_WITH_CONTROLLED_ROUNDED_TIP_TI,378.206 MM PIVOT-TO-TIP SHORTENED ARM BLADE WITH CONTROLLED ROUNDED TIP,A,MAKE,STINGRAY custom,3,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.06444988175252296,EXACT_ANALYTIC,,,Source arm-root machining retained; outboard analytic blade rebuilt to the 378.206 mm tip datum; deburr and CMM inspect,"Root, pivot, link, stop, lock and retention interfaces are source-derived. PHYSICAL FABRIC-ENGAGEMENT AND RETENTION TEST REQUIRED.",DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-ARM-LONGERON-001,SHORTENED_PRIMARY_ARM-MODULE_LONGERON_TI,SHORTENED PRIMARY ARM-MODULE LONGERON,A,MAKE,STINGRAY custom,2,2,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.02557947017485575,EXACT_ANALYTIC,,,5-axis mill and jig bore; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-ARM-TERMINATION-RING-001,SHORT-ARM_MODULE_AFT_STRUCTURAL_TERMINATION_RING_TI,SHORT-ARM MODULE AFT STRUCTURAL TERMINATION RING,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.028944490434771264,EXACT_ANALYTIC,,,Mill-turn; machine three longeron and stow-guide lands; CMM inspect,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BACKUP-ACCESS-FIXED-SECTOR-003,SHORTENED_FIXED_SECTOR_3_WITH_BACKUP-GUIDE_ACCESS_TI,SHORTENED FIXED SECTOR 3 WITH BACKUP-GUIDE ACCESS,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.17708072899000055,EXACT_ANALYTIC,,,Hot form; 5-axis trim; occurrence-match mill two inward-open M3 head pockets; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
DF8-SHORT14-BACKUP-GUIDE-LONGERON-003,SHORTENED_PRIMARY_LONGERON_3_WITH_BACKUP-GUIDE_BORES_TI,SHORTENED PRIMARY LONGERON 3 WITH BACKUP-GUIDE BORES,A,MAKE,STINGRAY custom,1,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,0.02536196076122347,EXACT_ANALYTIC,,,5-axis mill; jig bore routes; drill 2X radial M3 clearance; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,,DIGITAL DEFINITION PRESENT; RELEASE QUALIFICATION NOT ESTABLISHED
