item,component,classification,attachment_path,retention_method,service_or_reset_path,limitation,digital_attachment_audit
WP02-015,GS19_FIXED_BODY_EXACT_VENDOR_BREP,COTS AUTHENTIC VENDOR BREP SPLIT,Exact B8 fixed stud in positively secured M8 socket on WP02 fixed anchor,Thread-locking feature plus locknut/anti-rotation clamp; external positive travel stop supplied by mechanism,Unscrew only after spring unloading and crosshead restraint,300 +/- 30 N F1 at 20 C is the controlled development procurement/charge specification; existing unit charge is not verified.,PASS
WP02-016,GS19_MOVING_ROD_EXACT_VENDOR_BREP,COTS AUTHENTIC VENDOR BREP SPLIT,Exact B8 moving stud threaded into the crosshead adapter,Threaded adapter plus locknut and anti-rotation key,Rod remains with GS body during normal COTS replacement,Rod is translated without scaling; 23.074 mm mechanism travel remains within the 50 mm GS stroke.,PASS
WP02-017,GS19_FIXED_ANCHOR,CUSTOM RIGID,Welded/bolted crossmember on cartridge spine,"M8 socket, locknut and anti-rotation clamp",Accessible through opened arm bay,,PASS
WP02-018,GS19_MOVING_ADAPTER,CUSTOM RIGID,M8 threaded B8 stud to crosshead lug,Locknut and mechanical anti-rotation key,Remove with GS unit,,PASS
WP02-019,HBD15_BODY_DRAWING_DERIVED,COTS DRAWING-DERIVED,Fixed A-eye pin in the captive bypass carriage,Headed pin plus lock plate; end fitting requires positive anti-unscrew feature,Replace through opened arm bay with cartridge installed,"Exact configured vendor CAD and ordered suffix confirmation remain required; model uses the official OD, stroke and extended-length envelope.",PASS
WP02-020,HBD15_ROD_DRAWING_DERIVED,COTS DRAWING-DERIVED,Moving A-eye pin in lost-motion crosshead coupler,Headed pin and positive anti-unscrew lock,Moves with HBD body as one service item,HBD motion is 21.874 mm after 1.2 mm lost motion; gross nominal reserve is 3.126 mm and residual reserve is 1.626 mm after the 1.5 mm external-stop allowance.,PASS
WP02-021,HBD_MOVING_LOST_MOTION_COUPLER,CUSTOM RIGID,Bolted to crosshead HBD lug; A-eye pin rides in a captive axial slot,Closed slot with retained headed pin,Remove with HBD after unloading,"1.20 mm slot take-up is a tolerance-control feature, not uncontrolled free travel.",PASS
WP02-022,HBD_CAPTIVE_BYPASS_CARRIAGE,CUSTOM RIGID,Slides on two captive bypass rails; holds HBD fixed eye,Rail end shoulders capture carriage in both normal and bypass positions,Detents reset manually with calibrated fixture,Nonfragmenting fallback replaces the inherited shear-fuse concept.,PASS
WP02-023,HBD_BYPASS_RAIL_AND_SHOULDER_SET,CUSTOM RIGID,Fixed to cartridge spine,Integral enlarged shoulders; no loose fragments on bypass,Inspect rail straightness and carriage freedom after any bypass event,,PASS
WP02-024,HBD_BYPASS_DETENT_SET,CUSTOM CALIBRATED,Opposed threaded ball plungers in the spine crossmember,Threaded bodies with locknuts and witness lacquer,Bench-calibrate release to 450 +/- 30 N and inspect/reset after bypass event,Release force is analytically specified but requires lot-level physical calibration.,PASS
WP02-025,BACKUP_SPRING_LHL625D12,COTS DRAWING-DERIVED,Captive between fixed reaction seat and moving seat on 8 mm guide rod,Ground ends captured by concentric shoulders; guide rod prevents buckling/ejection,Unload with threaded reset fixture before removing seats,Selected after rejecting inherited spring; procurement certificate and incoming rate/length inspection required.,PASS
WP02-026,BACKUP_SPRING_FIXED_REACTION_SEAT,CUSTOM RIGID,Crossmember to cartridge spine at Z=965,Bolted/doweled connection; axial load carried directly into spine,Remove only with reset fixture engaged,,PASS
WP02-027,BACKUP_SPRING_MOVING_SEAT,CUSTOM RIGID,Threaded and keyed to the continuous spring guide/pushrod,Locknut and radial key; captured by spring and guide rod,Withdraw with guide rod after spring unloading,,PASS
WP02-028,BACKUP_SPRING_GUIDE_PUSHROD,CUSTOM RIGID,Crosshead lug to moving spring seat,Pinned crosshead end; locknut/key at moving seat,Serves as spring guide and positive load path; remove after unloading,,PASS
WP02-029,DEPLOYED_STOP_PAD_SET,CUSTOM REPLACEABLE,Captured dovetail/shoulder in WP01-compatible fixed stop carrier,Mechanical capture; adhesive is not credited,"Replace after visible set, tearing or out-of-family deployment impact",Material lot compression curve and saltwater aging require physical characterization.,PASS
WP02-030,POSITIVE_LOCK_HOUSING_SET,CUSTOM RIGID,Bolted/doweled to WP01 shell pivot region,Fixed structure; no reliance on gas or spring preload,Accessible through opened arm bays,,PASS
WP02-031,POSITIVE_LOCK_PLUNGER_AND_WITNESS_SET,CUSTOM RIGID,Spring-biased captive plunger through deployed arm root bore,Captive shoulder and housing end cap,Manual pull-and-hold release during controlled reset,Witness extension is directly visible only with the corresponding WP01 cover open.,PASS
WP02-032,CROSSHEAD_SEAR,CUSTOM RIGID,Radial engagement through crosshead hub; WP03 release cable interface,Captive in fixed housing with return spring and end shoulder,Manually reset after spring compression and arm stow,WP03 owns the exact release cable and common water-activation interface.,PASS
WP02-033,CROSSHEAD_SEAR_HOUSING,CUSTOM RIGID,Fixed to cartridge spine,Bolted and doweled,Accessible with forward service panel open,,PASS
WP02-034,COVER_SEQUENCED_ARM_STOW_LATCH_SET,CUSTOM RIGID,Fixed housings at aft arm-bay station; rollers engage WP01 cover cam surfaces,Captive pawls and pivot pins,Inspect engagement before every armed configuration,Cover cam profile and opening torque require WP01/WP02 physical correlation; digital sequence is cover-open-first.,PASS
