connection_id,occurrence_id,mate_occurrence_id,connection_type,retaining_hardware,axial_retention,lateral_retention,anti_rotation,upstream_load_path,downstream_load_path,service_method,evidence,attachment_requirement_count_for_pair,endpoints_exist,status
PACK-TIE-COLLAR-2-1,PACK-RADIAL-TIE-2-1,PACK-ATTACHMENT-COLLAR-2,CAPTURED_COLLAR_WEBBING_LOOP,CLOSED BAR-TACKED LOOP,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-1,PACK-ATTACHMENT-COLLAR-2,CONTROLLED SERVICE PROCEDURE,Occurrence-matched radial tie captures the low-profile rigid collar without entering the recovery load path,1,YES,CONNECTED
PACK-TIE-COLLAR-2-2,PACK-RADIAL-TIE-2-2,PACK-ATTACHMENT-COLLAR-2,CAPTURED_COLLAR_WEBBING_LOOP,CLOSED BAR-TACKED LOOP,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-2,PACK-ATTACHMENT-COLLAR-2,CONTROLLED SERVICE PROCEDURE,Occurrence-matched radial tie captures the low-profile rigid collar without entering the recovery load path,1,YES,CONNECTED
PACK-TIE-COLLAR-2-3,PACK-RADIAL-TIE-2-3,PACK-ATTACHMENT-COLLAR-2,CAPTURED_COLLAR_WEBBING_LOOP,CLOSED BAR-TACKED LOOP,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-3,PACK-ATTACHMENT-COLLAR-2,CONTROLLED SERVICE PROCEDURE,Occurrence-matched radial tie captures the low-profile rigid collar without entering the recovery load path,1,YES,CONNECTED
PACK-WEBBING-COLLAR-1,PACK-ATTACHMENT-WEBBING-1,PACK-ATTACHMENT-COLLAR-1,CLOSED_WEBBING_LACE,THREE RADIAL BAR-TACKED TIES,POSITIVE,POSITIVE,DEFINED,PACK-ATTACHMENT-WEBBING-1,PACK-ATTACHMENT-COLLAR-1,CONTROLLED SERVICE PROCEDURE,Modeled retention loop and three ties,1,YES,CONNECTED
PACK-WEBBING-COLLAR-2,PACK-ATTACHMENT-WEBBING-2,PACK-ATTACHMENT-COLLAR-2,CLOSED_WEBBING_LACE,THREE RADIAL BAR-TACKED TIES,POSITIVE,POSITIVE,DEFINED,PACK-ATTACHMENT-WEBBING-2,PACK-ATTACHMENT-COLLAR-2,CONTROLLED SERVICE PROCEDURE,Modeled retention loop and three ties,1,YES,CONNECTED
PACK-CRADLE-LEFT-WEBBING-1,CORDURA-CRADLE-LEFT,PACK-ATTACHMENT-WEBBING-1,BAR_TACKED_SOFTGOODS_JOINT,BOUND SEAM,POSITIVE,POSITIVE,DEFINED,CORDURA-CRADLE-LEFT,PACK-ATTACHMENT-WEBBING-1,CONTROLLED SERVICE PROCEDURE,Controlled stitch traveler and pack-retention proof,1,YES,CONNECTED
PACK-CRADLE-LEFT-WEBBING-2,CORDURA-CRADLE-LEFT,PACK-ATTACHMENT-WEBBING-2,BAR_TACKED_SOFTGOODS_JOINT,BOUND SEAM,POSITIVE,POSITIVE,DEFINED,CORDURA-CRADLE-LEFT,PACK-ATTACHMENT-WEBBING-2,CONTROLLED SERVICE PROCEDURE,Controlled stitch traveler and pack-retention proof,1,YES,CONNECTED
PACK-CRADLE-RIGHT-WEBBING-1,CORDURA-CRADLE-RIGHT,PACK-ATTACHMENT-WEBBING-1,BAR_TACKED_SOFTGOODS_JOINT,BOUND SEAM,POSITIVE,POSITIVE,DEFINED,CORDURA-CRADLE-RIGHT,PACK-ATTACHMENT-WEBBING-1,CONTROLLED SERVICE PROCEDURE,Controlled stitch traveler and pack-retention proof,1,YES,CONNECTED
PACK-CRADLE-RIGHT-WEBBING-2,CORDURA-CRADLE-RIGHT,PACK-ATTACHMENT-WEBBING-2,BAR_TACKED_SOFTGOODS_JOINT,BOUND SEAM,POSITIVE,POSITIVE,DEFINED,CORDURA-CRADLE-RIGHT,PACK-ATTACHMENT-WEBBING-2,CONTROLLED SERVICE PROCEDURE,Controlled stitch traveler and pack-retention proof,1,YES,CONNECTED
PACK-CRADLE-CENTER-SEAM,CORDURA-CRADLE-LEFT,CORDURA-CRADLE-RIGHT,BOUND_DRAINAGE_SEAM,HMPE EDGE TAPE AND BAR TACKS,POSITIVE,POSITIVE,DEFINED,CORDURA-CRADLE-LEFT,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Two one-solid cradle panels retain controlled centerline drainage,1,YES,CONNECTED
PACK-FLAP-HINGE-LEFT,CORDURA-FLAP-LEFT,CORDURA-CRADLE-LEFT,CONTINUOUS_STITCHED_PEEL_HINGE,BOUND CORDURA SEAM,POSITIVE,POSITIVE,DEFINED,CORDURA-FLAP-LEFT,CORDURA-CRADLE-LEFT,CONTROLLED SERVICE PROCEDURE,Flap remains attached through inflation and breakaway opening,1,YES,CONNECTED
PACK-FLAP-HINGE-RIGHT,CORDURA-FLAP-RIGHT,CORDURA-CRADLE-RIGHT,CONTINUOUS_STITCHED_PEEL_HINGE,BOUND CORDURA SEAM,POSITIVE,POSITIVE,DEFINED,CORDURA-FLAP-RIGHT,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Flap remains attached through inflation and breakaway opening,1,YES,CONNECTED
PACK-HOOK-FLAP,HOOK-STRIP,CORDURA-FLAP-LEFT,SEWN_HOOK_STRIP,MULTIROW PEEL-AXIS STITCH,POSITIVE,POSITIVE,DEFINED,HOOK-STRIP,CORDURA-FLAP-LEFT,CONTROLLED SERVICE PROCEDURE,Hook strip sewn to reinforced left flap,1,YES,CONNECTED
PACK-LOOP-FLAP,LOOP-STRIP,CORDURA-FLAP-RIGHT,SEWN_LOOP_STRIP,MULTIROW PEEL-AXIS STITCH,POSITIVE,POSITIVE,DEFINED,LOOP-STRIP,CORDURA-FLAP-RIGHT,CONTROLLED SERVICE PROCEDURE,Loop strip sewn to reinforced right flap,1,YES,CONNECTED
PACK-PEEL-CLOSURE,HOOK-STRIP,LOOP-STRIP,WET_RATED_PEEL_BREAKAWAY,16 DEGREE CONTROLLED OVERLAP,POSITIVE,POSITIVE,DEFINED,HOOK-STRIP,LOOP-STRIP,CONTROLLED SERVICE PROCEDURE,Inflation opens the closure in peel,1,YES,CONNECTED
PACK-EDGE-BAND-LEFT-1,PACK-EDGE-BAND-1,CORDURA-CRADLE-LEFT,CONTINUOUS_BOUND_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-1,CORDURA-CRADLE-LEFT,CONTROLLED SERVICE PROCEDURE,Radiused reinforced cradle edge,1,YES,CONNECTED
PACK-EDGE-BAND-RIGHT-1,PACK-EDGE-BAND-1,CORDURA-CRADLE-RIGHT,CONTINUOUS_BOUND_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-1,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Radiused reinforced cradle edge,1,YES,CONNECTED
PACK-EDGE-BAND-FLAP-LEFT-1,PACK-EDGE-BAND-1,CORDURA-FLAP-LEFT,CONTINUOUS_BOUND_FLAP_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-1,CORDURA-FLAP-LEFT,CONTROLLED SERVICE PROCEDURE,Reinforced edge band remains sewn to the left peel flap through opening,1,YES,CONNECTED
PACK-EDGE-BAND-FLAP-RIGHT-1,PACK-EDGE-BAND-1,CORDURA-FLAP-RIGHT,CONTINUOUS_BOUND_FLAP_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-1,CORDURA-FLAP-RIGHT,CONTROLLED SERVICE PROCEDURE,Reinforced edge band remains sewn to the right peel flap through opening,1,YES,CONNECTED
PACK-TIE-WEBBING-1-1,PACK-RADIAL-TIE-1-1,PACK-ATTACHMENT-WEBBING-1,CLOSED_BAR_TACKED_WEBBING_LOOP,MULTIROW BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-1,PACK-ATTACHMENT-WEBBING-1,CONTROLLED SERVICE PROCEDURE,Modeled collar-side pack retention,1,YES,CONNECTED
PACK-TIE-CRADLE-1-1,PACK-RADIAL-TIE-1-1,CORDURA-CRADLE-RIGHT,BAR_TACKED_CRADLE_TIE,REINFORCED PATCH AND BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-1,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Modeled cradle-side pack retention,1,YES,CONNECTED
PACK-TIE-WEBBING-1-2,PACK-RADIAL-TIE-1-2,PACK-ATTACHMENT-WEBBING-1,CLOSED_BAR_TACKED_WEBBING_LOOP,MULTIROW BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-2,PACK-ATTACHMENT-WEBBING-1,CONTROLLED SERVICE PROCEDURE,Modeled collar-side pack retention,1,YES,CONNECTED
PACK-TIE-CRADLE-1-2,PACK-RADIAL-TIE-1-2,CORDURA-CRADLE-LEFT,BAR_TACKED_CRADLE_TIE,REINFORCED PATCH AND BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-2,CORDURA-CRADLE-LEFT,CONTROLLED SERVICE PROCEDURE,Modeled cradle-side pack retention,1,YES,CONNECTED
PACK-TIE-WEBBING-1-3,PACK-RADIAL-TIE-1-3,PACK-ATTACHMENT-WEBBING-1,CLOSED_BAR_TACKED_WEBBING_LOOP,MULTIROW BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-3,PACK-ATTACHMENT-WEBBING-1,CONTROLLED SERVICE PROCEDURE,Modeled collar-side pack retention,1,YES,CONNECTED
PACK-TIE-CRADLE-1-3,PACK-RADIAL-TIE-1-3,CORDURA-CRADLE-RIGHT,BAR_TACKED_CRADLE_TIE,REINFORCED PATCH AND BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-1-3,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Modeled cradle-side pack retention,1,YES,CONNECTED
PACK-EDGE-BAND-LEFT-2,PACK-EDGE-BAND-2,CORDURA-CRADLE-LEFT,CONTINUOUS_BOUND_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-2,CORDURA-CRADLE-LEFT,CONTROLLED SERVICE PROCEDURE,Radiused reinforced cradle edge,1,YES,CONNECTED
PACK-EDGE-BAND-RIGHT-2,PACK-EDGE-BAND-2,CORDURA-CRADLE-RIGHT,CONTINUOUS_BOUND_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-2,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Radiused reinforced cradle edge,1,YES,CONNECTED
PACK-EDGE-BAND-FLAP-LEFT-2,PACK-EDGE-BAND-2,CORDURA-FLAP-LEFT,CONTINUOUS_BOUND_FLAP_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-2,CORDURA-FLAP-LEFT,CONTROLLED SERVICE PROCEDURE,Reinforced edge band remains sewn to the left peel flap through opening,1,YES,CONNECTED
PACK-EDGE-BAND-FLAP-RIGHT-2,PACK-EDGE-BAND-2,CORDURA-FLAP-RIGHT,CONTINUOUS_BOUND_FLAP_EDGE_STITCH,HMPE BINDING,POSITIVE,POSITIVE,DEFINED,PACK-EDGE-BAND-2,CORDURA-FLAP-RIGHT,CONTROLLED SERVICE PROCEDURE,Reinforced edge band remains sewn to the right peel flap through opening,1,YES,CONNECTED
PACK-TIE-WEBBING-2-1,PACK-RADIAL-TIE-2-1,PACK-ATTACHMENT-WEBBING-2,CLOSED_BAR_TACKED_WEBBING_LOOP,MULTIROW BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-1,PACK-ATTACHMENT-WEBBING-2,CONTROLLED SERVICE PROCEDURE,Modeled collar-side pack retention,1,YES,CONNECTED
PACK-TIE-CRADLE-2-1,PACK-RADIAL-TIE-2-1,CORDURA-CRADLE-RIGHT,BAR_TACKED_CRADLE_TIE,REINFORCED PATCH AND BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-1,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Modeled cradle-side pack retention,1,YES,CONNECTED
PACK-TIE-WEBBING-2-2,PACK-RADIAL-TIE-2-2,PACK-ATTACHMENT-WEBBING-2,CLOSED_BAR_TACKED_WEBBING_LOOP,MULTIROW BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-2,PACK-ATTACHMENT-WEBBING-2,CONTROLLED SERVICE PROCEDURE,Modeled collar-side pack retention,1,YES,CONNECTED
PACK-TIE-CRADLE-2-2,PACK-RADIAL-TIE-2-2,CORDURA-CRADLE-LEFT,BAR_TACKED_CRADLE_TIE,REINFORCED PATCH AND BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-2,CORDURA-CRADLE-LEFT,CONTROLLED SERVICE PROCEDURE,Modeled cradle-side pack retention,1,YES,CONNECTED
PACK-TIE-WEBBING-2-3,PACK-RADIAL-TIE-2-3,PACK-ATTACHMENT-WEBBING-2,CLOSED_BAR_TACKED_WEBBING_LOOP,MULTIROW BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-3,PACK-ATTACHMENT-WEBBING-2,CONTROLLED SERVICE PROCEDURE,Modeled collar-side pack retention,1,YES,CONNECTED
PACK-TIE-CRADLE-2-3,PACK-RADIAL-TIE-2-3,CORDURA-CRADLE-RIGHT,BAR_TACKED_CRADLE_TIE,REINFORCED PATCH AND BAR TACKS,POSITIVE,POSITIVE,DEFINED,PACK-RADIAL-TIE-2-3,CORDURA-CRADLE-RIGHT,CONTROLLED SERVICE PROCEDURE,Modeled cradle-side pack retention,1,YES,CONNECTED
BUOY-GORE-SEAM-01,EXT-BUOY-PANEL-01,EXT-BUOY-PANEL-02,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-01,EXT-BUOY-PANEL-02,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
BUOY-GORE-SEAM-02,EXT-BUOY-PANEL-02,EXT-BUOY-PANEL-03,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-02,EXT-BUOY-PANEL-03,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
BUOY-GORE-SEAM-03,EXT-BUOY-PANEL-03,EXT-BUOY-PANEL-04,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-03,EXT-BUOY-PANEL-04,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
BUOY-GORE-SEAM-04,EXT-BUOY-PANEL-04,EXT-BUOY-PANEL-05,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-04,EXT-BUOY-PANEL-05,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
BUOY-GORE-SEAM-05,EXT-BUOY-PANEL-05,EXT-BUOY-PANEL-06,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-05,EXT-BUOY-PANEL-06,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
BUOY-GORE-SEAM-06,EXT-BUOY-PANEL-06,EXT-BUOY-PANEL-07,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-06,EXT-BUOY-PANEL-07,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
BUOY-GORE-SEAM-07,EXT-BUOY-PANEL-07,EXT-BUOY-PANEL-08,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-07,EXT-BUOY-PANEL-08,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
BUOY-GORE-SEAM-08,EXT-BUOY-PANEL-08,EXT-BUOY-PANEL-01,12_MM_RF_WELDED_GORE_SEAM,TPU LAMINATE SEAM ALLOWANCE,POSITIVE,POSITIVE,DEFINED,EXT-BUOY-PANEL-08,EXT-BUOY-PANEL-01,CONTROLLED SERVICE PROCEDURE,Closed leak-proof buoy envelope seam,1,YES,CONNECTED
WATER-MESH-FLAP,WATER-ENTRY-MESH,CORDURA-FLAP-RIGHT,SEWN_REINFORCED_OPEN_WINDOW,BOUND MESH FRAME,POSITIVE,POSITIVE,DEFINED,WATER-ENTRY-MESH,CORDURA-FLAP-RIGHT,CONTROLLED SERVICE PROCEDURE,Direct water path while wrap remains closed,1,YES,CONNECTED
PATCH-BUOY,BUOY-INLET-PATCH,EXT-BUOY-PANEL-01,MULTI_PLY_RF_WELDED_PATCH,CONTROLLED PATCH LAND,POSITIVE,POSITIVE,DEFINED,BUOY-INLET-PATCH,EXT-BUOY-PANEL-01,CONTROLLED SERVICE PROCEDURE,Inflator assembly is directly attached to the buoy inlet reinforcement,1,YES,CONNECTED
INLET-PATCH,BUOY-INLET-MANIFOLD,BUOY-INLET-PATCH,CLAMPED_RF_REINFORCED_INLET,INLET RETAINING FLANGE,POSITIVE,POSITIVE,DEFINED,BUOY-INLET-MANIFOLD,BUOY-INLET-PATCH,CONTROLLED SERVICE PROCEDURE,Direct buoy inlet reinforcement interface,1,YES,CONNECTED
INFLATOR-INLET,HYDRO-1F-INFLATOR-PROXY,BUOY-INLET-MANIFOLD,THREADED_SEALED_INTERFACE,CATALOG THREAD AND SEAL,POSITIVE,POSITIVE,DEFINED,HYDRO-1F-INFLATOR-PROXY,BUOY-INLET-MANIFOLD,CONTROLLED SERVICE PROCEDURE,Hydro 1F commercial interface retained by proxy,1,YES,CONNECTED
CARTRIDGE-INFLATOR,BUOY-CO2-CARTRIDGE-81121,HYDRO-1F-INFLATOR-PROXY,THREADED_PUNCTURE_INTERFACE,CATALOG CARTRIDGE THREAD,POSITIVE,POSITIVE,DEFINED,BUOY-CO2-CARTRIDGE-81121,HYDRO-1F-INFLATOR-PROXY,CONTROLLED SERVICE PROCEDURE,Source-supported cartridge envelope; compatibility test required,1,YES,CONNECTED
BOBBIN-INFLATOR,HYDRO-1F-WATER-BOBBIN-V80040,HYDRO-1F-INFLATOR-PROXY,CAPTURED_WATER_ELEMENT,CATALOG BOBBIN RETAINER,POSITIVE,POSITIVE,DEFINED,HYDRO-1F-WATER-BOBBIN-V80040,HYDRO-1F-INFLATOR-PROXY,CONTROLLED SERVICE PROCEDURE,V80040 exposed through direct water-entry mesh,1,YES,CONNECTED
GUARD-PATCH,INFLATOR-GUARD,BUOY-INLET-PATCH,WEBBING_AND_PATCH_SUPPORTED_GUARD,TWO REINFORCED LOOPS,POSITIVE,POSITIVE,DEFINED,INFLATOR-GUARD,BUOY-INLET-PATCH,CONTROLLED SERVICE PROCEDURE,Guard does not occlude water or service access,1,YES,CONNECTED
LANYARD-INFLATOR,MANUAL-PULL-LANYARD,HYDRO-1F-INFLATOR-PROXY,PINNED_MANUAL_LEVER,CAPTURED LANYARD EYE,POSITIVE,POSITIVE,DEFINED,MANUAL-PULL-LANYARD,HYDRO-1F-INFLATOR-PROXY,CONTROLLED SERVICE PROCEDURE,Modeled slack and 25 mm fired travel,1,YES,CONNECTED
