part_number,physical_title,quantity,material,finish,neutral_cad,dimensioned_drawing,datums_gdt_tolerances,threads_fits_edge_surface_notes,inspection_characteristics,drawing_to_cad_verification,fabrication_authority
DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP_SPRING_AFT_FIXED_SEAT_WITH_LONGERON_MOUNTING_TONGUE_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP_SPRING_DLC_GUIDE_SHAFT_WITH_TWO_FIXED_SUPPORT_SHOULDERS_SS,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP_SPRING_CROSSHEAD_SEAT_WITH_PILOTED_PERMANENT_LAND_SS,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-BALLAST-001,Forward_Ballast_W,1,Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL_DLC_CROSSHEAD_GUIDE_SHAFT_WITH_SPIDER_SHOULDER_SS,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE_CROSSHEAD-GUIDE_FORWARD_MOUNT_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-FIXED-STOP-001,80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-LINK-PIN-004,4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS,6,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-NOSE-001,Penetrator_Nose_W,1,Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-PIVOT-BUSH-008,8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK,6,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-PIVOT-PIN-008,8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-PIVOT-SPIRAL-RING-008,8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-PIVOT-WASHER-008,8_MM_PEEK_THRUST_WASHER_PEEK,6,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-RECOVERY-PIN-006,6_MM_CAPTIVE_RECOVERY_TERMINAL_PIN_WITH_RETAINER_GROOVE_SS,1,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-SHORT-LINK-001,19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS,6,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-STOW-DOG-001,CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-STOW-DOG-INHIBIT-PIN-001,WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS,3,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-STOW-DOG-RETURN-SPRING-001,CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS,3,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-R2-TETHER-THIMBLE-001,AMSTEEL_EYE-SPLICE_THIMBLE_SS,2,316 stainless steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-AFT-CAP-001,SHORTENED_BODY_AFT_CAP_WITH_TETHER_SERVICE_PASSAGE_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-AFT-CLOSURE-RING-001,AFT_STRUCTURAL_CLOSURE_RING_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-AFT-LONGERON-AFT-001,AFT_PRIMARY_LOAD-PATH_LONGERON_AFT_TI,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-AFT-LONGERON-FWD-001,AFT_PRIMARY_LOAD-PATH_LONGERON_FWD_TI,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-AFT-SHELL-CLOSURE-001,SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_CLOSURE_SEGMENT_TI,1,Ti-3Al-2.5V Grade 9,ASTM B600 clean/passivate; drawing-controlled shell finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-AFT-SHELL-FORWARD-001,SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_FORWARD_SEGMENT_TI,1,Ti-3Al-2.5V Grade 9,ASTM B600 clean/passivate; drawing-controlled shell finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-ARM-BLADE-001,378.206_MM_PIVOT-TO-TIP_SHORTENED_ARM_BLADE_WITH_CONTROLLED_ROUNDED_TIP_TI,3,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-ARM-LONGERON-001,SHORTENED_PRIMARY_ARM-MODULE_LONGERON_TI,2,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-ARM-TERMINATION-RING-001,SHORT-ARM_MODULE_AFT_STRUCTURAL_TERMINATION_RING_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BACKUP-ACCESS-FIXED-SECTOR-003,SHORTENED_FIXED_SECTOR_3_WITH_BACKUP-GUIDE_ACCESS_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BACKUP-GUIDE-LONGERON-003,SHORTENED_PRIMARY_LONGERON_3_WITH_BACKUP-GUIDE_BORES_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BALLAST-CARRIER-TRANSITION-RING-001,BALLAST-AFT-FACE_TO_ARM-CARRIER_STRUCTURAL_TRANSITION_RING_TI,1,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-INLET-MANIFOLD-001,BUOY-MOUNTED_INLET_MANIFOLD_WITH_INFLATOR_THREAD_INTERFACE_SS,1,316 stainless steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,BUOY_INLET_RF-WELDED_REINFORCEMENT_PATCH_TPU,1,TPU-coated nylon laminate,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-PANEL-01,60_L_BUOY_PANEL_01_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-PANEL-02,60_L_BUOY_PANEL_02_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-PANEL-03,60_L_BUOY_PANEL_03_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-PANEL-04,60_L_BUOY_PANEL_04_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-PANEL-05,60_L_BUOY_PANEL_05_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-PANEL-06,60_L_BUOY_PANEL_06_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
DF8-SHORT14-BUOY-PANEL-07,60_L_BUOY_PANEL_07_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,1,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,SEE 02_PART_DEFINITIONS,NOT RELEASED,NOT DETERMINABLE - LOAD/TOLERANCE BASIS ABSENT,SOURCE NOTES ONLY; RELEASE DRAWING REQUIRED,NOMINAL CAD PRESENT; CRITICAL CHARACTERISTICS NOT APPROVED,NOT RUN - NO RELEASE DRAWING,PROHIBITED
