part_number,physical_title,material,finish,process_or_heat_treatment,environmental_compatibility,evidence,release_status
DF8-R2-BACKUP-SPRING-FIXED-SEAT-001,BACKUP_SPRING_AFT_FIXED_SEAT_WITH_LONGERON_MOUNTING_TONGUE_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Mill-turn; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-BACKUP-SPRING-GUIDE-001,BACKUP_SPRING_DLC_GUIDE_SHAFT_WITH_TWO_FIXED_SUPPORT_SHOULDERS_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Centerless grind and DLC; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-BACKUP-SPRING-MOVING-SEAT-001,BACKUP_SPRING_CROSSHEAD_SEAT_WITH_PILOTED_PERMANENT_LAND_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Mill-turn; pilot to crosshead spoke; qualified laser weld; dimensional inspection; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-BALLAST-001,Forward_Ballast_W,Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,"CNC turn; wire-EDM socket; ASTM B777 Class 4 W-Ni-Fe product form, density >=18.0 g/cm3; heat/lot CoC; density verification; UT for internal discontinuities; ground datum inspection",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-CROSSHEAD-GUIDE-001,CENTRAL_DLC_CROSSHEAD_GUIDE_SHAFT_WITH_SPIDER_SHOULDER_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Centerless grind and DLC; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-CROSSHEAD-GUIDE-SPIDER-001,THREE-SPOKE_CROSSHEAD-GUIDE_FORWARD_MOUNT_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; conformal fit to FWD-RING-02 bore; qualified three-spoke laser weld; dimensional inspection; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-FIXED-STOP-001,80_DEGREE_SWEPT-CLEARANCE_FIXED_STOP_WITH_CONTROLLED_AUTOMATIC-LOCK_BUSHING_SEAT_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,5-axis mill; wire EDM lock guide and controlled PEEK-bushing seat; occurrence-match drill two M3 clearance and ream two H7 side-land bores; grind stop faces; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-LINK-PIN-004,4_MM_FULL-SPAN_LINK_PIN_WITH_DC-4SS_RETAINER_GROOVE_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-NOSE-001,Penetrator_Nose_W,Tungsten heavy alloy,Ground rope/penetration-safe edges; corrosion-inhibiting clean,"CNC turn and grind; ASTM B777 Class 4 W-Ni-Fe product form, density >=18.0 g/cm3; heat/lot CoC; density verification; UT for internal discontinuities; ground datum inspection",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-PIVOT-BUSH-008,8_MM_PEEK-LINED_PIVOT_BUSHING_PEEK,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",Turn and press fit; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-PIVOT-PIN-008,8_MM_CAPTIVE_SHOULDER_PIVOT_PIN_WITH_EXTERNAL_GROOVE_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-PIVOT-SPIRAL-RING-008,8_MM_EXTERNAL_SPIRAL_PIVOT_RETAINER_SS,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Wire form; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-PIVOT-WASHER-008,8_MM_PEEK_THRUST_WASHER_PEEK,PEEK,"Machined, edge-broken, cleaned; no mold release or particulate",Turn; Virgin unfilled PEEK resin/stock with ASTM D6262 or ISO material certificate; annealed stock; controlled machining temperature; moisture conditioning; dimensional inspection after stabilization,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-RECOVERY-PIN-006,6_MM_CAPTIVE_RECOVERY_TERMINAL_PIN_WITH_RETAINER_GROOVE_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Swiss turn; H900; grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-SHORT-LINK-001,19.950_MM_CENTER-DISTANCE_REAMED_SHORT_LINK_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Wire EDM; H900; ream; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-STOW-DOG-001,CAPTIVE_RADIAL_STOWED-RETENTION_DOG_WITH_TRANSPORT-INHIBIT_BORE_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Wire EDM and grind; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-STOW-DOG-INHIBIT-KEEPER-001,CAPTIVE_CRESCENT_RETAINER_FOR_TRANSPORT-INHIBIT_PIN_SS,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Stamp; deburr; passivate; inspect seating in occurrence-matched pin groove; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,External keeper remains seated on and translates with the headed inhibit pin in both retained and withdrawn endpoint states.,NOT RELEASED
DF8-R2-STOW-DOG-INHIBIT-PIN-001,WITHDRAWABLE_HEADED_TRANSPORT-INHIBIT_PIN_SS,17-4PH stainless steel,ASTM A967 passivated; critical bearing surfaces ground,Swiss turn; H900; grind; tether-feature inspection; ASTM A564 Type 630 certified stock; H900 unless the drawing explicitly selects a tougher condition; heat-treatment/hardness record; ASTM A967 passivation; grind/ream critical fits; CMM inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-R2-STOW-DOG-RETURN-SPRING-001,CAPTIVE_STOW-DOG_RADIAL_RETURN_SPRING_SS,1.4310 stainless spring steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Micro-coil; stress relieve; inspect installed force and 0.28-3.78 mm working stroke; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Endpoint B-reps bound the full radial dog stroke; spring is captured between the integral guide bridge and dog inboard face.,NOT RELEASED
DF8-R2-TETHER-THIMBLE-001,AMSTEEL_EYE-SPLICE_THIMBLE_SS,316 stainless steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Stamp and form; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-AFT-CAP-001,SHORTENED_BODY_AFT_CAP_WITH_TETHER_SERVICE_PASSAGE_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; machine chafe-safe service passage; bolt and safety-wire to closure ring; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-AFT-CLOSURE-RING-001,AFT_STRUCTURAL_CLOSURE_RING_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Mill-turn; weld to shell; face grind; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-AFT-LONGERON-AFT-001,AFT_PRIMARY_LOAD-PATH_LONGERON_AFT_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; qualified longitudinal shell weld; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-AFT-LONGERON-FWD-001,AFT_PRIMARY_LOAD-PATH_LONGERON_FWD_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; qualified longitudinal shell weld; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-AFT-SHELL-CLOSURE-001,SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_CLOSURE_SEGMENT_TI,Ti-3Al-2.5V Grade 9,ASTM B600 clean/passivate; drawing-controlled shell finish,Cold draw; trim; machine radiused tether/thimble passage; laser weld to recovery and closure rings; ASTM B338 Grade 9 tube/product form; heat/lot CoC; qualified argon-purged laser-weld WPS; PT and borescope inspection; alpha-case removal; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Rounded +X exit continues through the aft shell segment without interrupting the three primary longerons.,NOT RELEASED
DF8-SHORT14-AFT-SHELL-FORWARD-001,SHORTENED_AFT_GRADE-9_TITANIUM_SHELL_FORWARD_SEGMENT_TI,Ti-3Al-2.5V Grade 9,ASTM B600 clean/passivate; drawing-controlled shell finish,Cold draw; trim; machine radiused tether/thimble passage; laser weld to termination and recovery rings; ASTM B338 Grade 9 tube/product form; heat/lot CoC; qualified argon-purged laser-weld WPS; PT and borescope inspection; alpha-case removal; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Rounded +X exit prevents structural tether and body-thimble contact with the shell edge.,NOT RELEASED
DF8-SHORT14-ARM-BLADE-001,378.206_MM_PIVOT-TO-TIP_SHORTENED_ARM_BLADE_WITH_CONTROLLED_ROUNDED_TIP_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Source arm-root machining retained; outboard analytic blade rebuilt to the 378.206 mm tip datum; deburr and CMM inspect,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,"Root, pivot, link, stop, lock and retention interfaces are source-derived. PHYSICAL FABRIC-ENGAGEMENT AND RETENTION TEST REQUIRED.",NOT RELEASED
DF8-SHORT14-ARM-LONGERON-001,SHORTENED_PRIMARY_ARM-MODULE_LONGERON_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill and jig bore; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-ARM-TERMINATION-RING-001,SHORT-ARM_MODULE_AFT_STRUCTURAL_TERMINATION_RING_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Mill-turn; machine three longeron and stow-guide lands; CMM inspect,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-BACKUP-ACCESS-FIXED-SECTOR-003,SHORTENED_FIXED_SECTOR_3_WITH_BACKUP-GUIDE_ACCESS_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,Hot form; 5-axis trim; occurrence-match mill two inward-open M3 head pockets; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-BACKUP-GUIDE-LONGERON-003,SHORTENED_PRIMARY_LONGERON_3_WITH_BACKUP-GUIDE_BORES_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,5-axis mill; jig bore routes; drill 2X radial M3 clearance; Ti-6Al-4V Grade 5 certified product form; heat/lot CoC; qualified argon-purged WPS where welded; PT after welding; alpha-case removal; galvanic isolation; CMM final inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-BALLAST-CARRIER-TRANSITION-RING-001,BALLAST-AFT-FACE_TO_ARM-CARRIER_STRUCTURAL_TRANSITION_RING_TI,Ti-6Al-4V,ASTM B600 clean/passivate; drawing-controlled surface finish,"Mill-turn; machine six occurrence-matched carrier weld lands, twelve source-derived stop-hardware reliefs, and three continuous bounded root/stop motion corridors; CMM inspect ballast-face and pivot datums",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,FORWARD_BALLAST_AFT_FACE is the exact BALLAST-001 planar face at Z=336.000 mm; ring spans Z=336.000..344.000 mm. Continuous corridors conservatively contain the exact source-derived 5-degree probe envelope from 0..55 degrees; the independent 1-degree motion gate remains the acceptance authority.,NOT RELEASED
DF8-SHORT14-BUOY-INLET-MANIFOLD-001,BUOY-MOUNTED_INLET_MANIFOLD_WITH_INFLATOR_THREAD_INTERFACE_SS,316 stainless steel,ASTM A967 passivated; rope-contact and seal surfaces polished per drawing,Swiss turn; passivate; RF-patch clamp and leak proof; Certified stainless product form/condition; heat/lot CoC; qualified weld/braze procedure where applicable; ASTM A967 passivation; PT of pressure welds; dimensional inspection,REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-BUOY-INLET-REINFORCEMENT-PATCH-001,BUOY_INLET_RF-WELDED_REINFORCEMENT_PATCH_TPU,TPU-coated nylon laminate,Clean RF-welded membrane; trimmed sealed edges,"Multi-ply RF weld; leak proof and pull proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-01,60_L_BUOY_PANEL_01_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-02,60_L_BUOY_PANEL_02_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-03,60_L_BUOY_PANEL_03_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-04,60_L_BUOY_PANEL_04_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-05,60_L_BUOY_PANEL_05_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-06,60_L_BUOY_PANEL_06_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-07,60_L_BUOY_PANEL_07_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
DF8-SHORT14-BUOY-PANEL-08,60_L_BUOY_PANEL_08_WITH_PACKED-ENVELOPE_AND_DEPLOYED-GORE_STATES_TPU,TPU-coated nylon,Clean RF-welded membrane; trimmed sealed edges,"Waterjet cut; RF weld 12 mm seams; leak and inflation proof; Controlled TPU-coated high-tenacity nylon laminate drawing: substrate denier/weave, areal weight, coating chemistry/thickness and lot CoC; qualified RF-weld schedule; 100% leak and pressure proof; aging coupon",REQUIRES MATERIAL/FINISH AND SUBMERGENCE QUALIFICATION,Packed state is Buoy_Packed_Softgoods_Envelope_PROXY; deployed state is a thin closed exact gore solid.,NOT RELEASED
