occurrence_id,definition,legacy_id,description,removal_scope,source_parent_path,source_z_min_mm,source_z_max_mm,source_centroid_z_mm,source_mass_kg,reason,final_occurrence_present,final_bom_present,final_attachment_map_present,final_product_tree_present,final_validation_register_present
BOOSTER-AFT-CLOSURE-1,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1377.000000,1381.000000,1379.930052,0.001006,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-AFT-CLOSURE-2,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1377.000000,1381.000000,1379.930052,0.001006,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-AFT-CLOSURE-3,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,DF8-R2-BOOSTER-AFT-WELDED-CLOSURE-001,SOLID AFT BOOSTER CLOSURE WITH LOCATING PILOT,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1377.000000,1381.000000,1379.930052,0.001006,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-1-1,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1227.500000,1232.500000,1229.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-1-2,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1292.500000,1297.500000,1294.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-1-3,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1357.500000,1362.500000,1359.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-2-1,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1227.500000,1232.500000,1229.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-2-2,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1292.500000,1297.500000,1294.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-2-3,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1357.500000,1362.500000,1359.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-3-1,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1227.500000,1232.500000,1229.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-3-2,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1292.500000,1297.500000,1294.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-BAND-3-3,DF8-R2-BOOSTER-BAND-001,DF8-R2-BOOSTER-BAND-001,CAPTIVE BOOSTER SUPPORT BAND WITH M3 TAB,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1357.500000,1362.500000,1359.999994,0.000246,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-1-1,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1227.250000,1232.750000,1230.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-1-2,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1292.250000,1297.750000,1295.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-1-3,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1357.250000,1362.750000,1360.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-2-1,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1227.250000,1232.750000,1230.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-2-2,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1292.250000,1297.750000,1295.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-2-3,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1357.250000,1362.750000,1360.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-3-1,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1227.250000,1232.750000,1230.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-3-2,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1292.250000,1297.750000,1295.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-CLAMP-SCREW-3-3,SSCF-M3-10-A4,SSCF-M3-10-A4,"M3 X 10 FULL-THREAD SOCKET CAP SCREW, DIN 912 / ISO 4762",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1357.250000,1362.750000,1360.000000,0.000880,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-COLLECTION-LINE-1,DF8-R2-BOOSTER-COLLECTION-LINE-001,DF8-R2-BOOSTER-COLLECTION-LINE-001,LONG 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,444.500000,946.360809,702.448137,0.007533,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-COLLECTION-LINE-2,DF8-R2-BOOSTER-COLLECTION-LINE-001,DF8-R2-BOOSTER-COLLECTION-LINE-001,LONG 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,444.500000,946.360809,702.448137,0.007533,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-COLLECTION-LINE-3,DF8-R2-BOOSTER-COLLECTION-LINE-001,DF8-R2-BOOSTER-COLLECTION-LINE-001,LONG 316L BOOSTER COLLECTION LINE WITH INTEGRAL FERRULE ENDS,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,444.500000,946.360809,702.448137,0.007533,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-FWD-CLOSURE-1,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,949.000000,953.000000,949.900178,0.001274,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-FWD-CLOSURE-2,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,949.000000,953.000000,949.900178,0.001274,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-FWD-CLOSURE-3,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,DF8-R2-BOOSTER-FWD-ADAPTER-CLOSURE-001,PORTED FORWARD BOOSTER CLOSURE WITH WELD LIP AND VALVE ADAPTER,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,949.000000,953.000000,949.900178,0.001274,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-ISOLATION-VALVE-1,SS-CHS2-1,SS-CHS2-1,"SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,946.000000,949.000000,947.500000,0.025000,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-ISOLATION-VALVE-2,SS-CHS2-1,SS-CHS2-1,"SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,946.000000,949.000000,947.500000,0.025000,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BOOSTER-ISOLATION-VALVE-3,SS-CHS2-1,SS-CHS2-1,"SWAGELOK 316 SS POPPET CHECK VALVE, 1/8-IN TUBE FITTINGS, 6000 PSIG",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,946.000000,949.000000,947.500000,0.025000,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
BUOY-GORE-01,DF8-R2-BUOY-GORE-01,DF8-R2-BUOY-GORE-01,60 L BUOY GORE 1 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1788.700000,1870.001579,1858.046938,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BUOY-GORE-02,DF8-R2-BUOY-GORE-02,DF8-R2-BUOY-GORE-02,60 L BUOY GORE 2 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1848.000000,1870.001579,1859.000790,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BUOY-GORE-03,DF8-R2-BUOY-GORE-03,DF8-R2-BUOY-GORE-03,60 L BUOY GORE 3 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1848.000000,1870.001579,1859.000790,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BUOY-GORE-04,DF8-R2-BUOY-GORE-04,DF8-R2-BUOY-GORE-04,60 L BUOY GORE 4 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1848.000000,1870.001579,1859.000790,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BUOY-GORE-05,DF8-R2-BUOY-GORE-05,DF8-R2-BUOY-GORE-05,60 L BUOY GORE 5 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1817.700000,1870.001579,1858.026526,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BUOY-GORE-06,DF8-R2-BUOY-GORE-06,DF8-R2-BUOY-GORE-06,60 L BUOY GORE 6 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1848.000000,1870.001579,1859.000790,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BUOY-GORE-07,DF8-R2-BUOY-GORE-07,DF8-R2-BUOY-GORE-07,60 L BUOY GORE 7 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1848.000000,1870.001579,1859.000790,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
BUOY-GORE-08,DF8-R2-BUOY-GORE-08,DF8-R2-BUOY-GORE-08,60 L BUOY GORE 8 OF 8,SUPERSEDED_INTERNAL_BUOY_RECOVERY,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,1848.000000,1870.001579,1859.000790,0.023750,Replaced by external buoy panels and the independent structural tether load path,NO,NO,NO,NO,NO
CARTRIDGE-CARRIER-AFT,DF8-R2-CARTRIDGE-CARRIER-001,DF8-R2-CARTRIDGE-CARRIER-001,FOUR-CARTRIDGE DOUBLE-PLATE CARRIER,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,433.000000,437.000000,434.880707,0.002615,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
CARTRIDGE-CARRIER-FWD,DF8-R2-CARTRIDGE-CARRIER-001,DF8-R2-CARTRIDGE-CARRIER-001,FOUR-CARTRIDGE DOUBLE-PLATE CARRIER,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,344.000000,348.000000,345.880707,0.002615,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
CG-TRIM-BALLAST-001,DF8-FORWARD-ARM-CG-TRIM-BALLAST-001,DF8-FORWARD-ARM-CG-TRIM-BALLAST-001,CENTERED AFT CG TRIM BALLAST WITH SIX INTEGRAL RETENTION ARMS,SUPERSEDED_TRIM,300_TRUE_TRANSFORM_ARM_AND_POWERTRAIN_ASSY,1257.500000,1412.500000,1335.000000,0.351134,Removed; final exact mass properties do not require the source repack trim slug,NO,NO,NO,NO,NO
CO2-CARTRIDGE-1,LELAND-81121,LELAND-81121,LELAND 81121 12 G CO2 CARTRIDGE,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,348.000000,431.000000,388.148449,0.045000,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
CO2-CARTRIDGE-2,LELAND-81121,LELAND-81121,LELAND 81121 12 G CO2 CARTRIDGE,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,348.000000,431.000000,388.148449,0.045000,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
CO2-CARTRIDGE-3,LELAND-81121,LELAND-81121,LELAND 81121 12 G CO2 CARTRIDGE,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,348.000000,431.000000,388.148449,0.045000,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
CO2-CARTRIDGE-4,LELAND-81121,LELAND-81121,LELAND 81121 12 G CO2 CARTRIDGE,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,348.000000,431.000000,388.148449,0.045000,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
COLLECTION-MANIFOLD-001,DF8-R2-COLLECTION-MANIFOLD-001,DF8-R2-COLLECTION-MANIFOLD-001,FOUR-PORT COLLECTION MANIFOLD WITH BORED PASSAGES,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,437.000000,447.000000,442.455083,0.083679,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
DOOR-DETENT-1,GN-615.3-M3-KN-PFB,GN-615.3-M3-KN-PFB,JW WINCO M3 STAINLESS BALL PLUNGER,DEDICATED_INTERNAL_BUOY_EJECTION,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,2025.000000,2028.000000,2026.542856,0.000483,Removed with the internal follower/sleeve/door ejection architecture,NO,NO,NO,NO,NO
DOOR-DETENT-2,GN-615.3-M3-KN-PFB,GN-615.3-M3-KN-PFB,JW WINCO M3 STAINLESS BALL PLUNGER,DEDICATED_INTERNAL_BUOY_EJECTION,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,2025.000000,2028.000000,2026.542856,0.000483,Removed with the internal follower/sleeve/door ejection architecture,NO,NO,NO,NO,NO
DOOR-DETENT-3,GN-615.3-M3-KN-PFB,GN-615.3-M3-KN-PFB,JW WINCO M3 STAINLESS BALL PLUNGER,DEDICATED_INTERNAL_BUOY_EJECTION,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,2025.000000,2028.000000,2026.542856,0.000483,Removed with the internal follower/sleeve/door ejection architecture,NO,NO,NO,NO,NO
DOOR-DETENT-4,GN-615.3-M3-KN-PFB,GN-615.3-M3-KN-PFB,JW WINCO M3 STAINLESS BALL PLUNGER,DEDICATED_INTERNAL_BUOY_EJECTION,500_SPRING_EJECTOR_AFT_CLOSURE_AND_RECOVERY_ASSY,2025.000000,2028.000000,2026.542856,0.000483,Removed with the internal follower/sleeve/door ejection architecture,NO,NO,NO,NO,NO
FULLFLOW-VALVE-001,DF8-R2-FULLFLOW-VALVE-001,DF8-R2-FULLFLOW-VALVE-001,DIRECT FULL-FLOW VALVE WITH BORED AXIAL AND RADIAL PORTS,DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY,1192.000000,1218.000000,1204.939880,0.020074,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
FULLFLOW-VALVE-CIRCLIP-001,HEC-10-A4,HEC-10-A4,"10 MM EXTERNAL CIRCLIP, DIN 471",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,1216.500000,1217.500000,1217.000000,0.000410,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
FWD-CARRIER-SCREW-1,SSK-M3-6-A4-P80,SSK-M3-6-A4-P80,"M3 X 6 SOCKET COUNTERSUNK SCREW, ISO 10642, PRECOTE 80",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,342.000000,348.000000,345.754481,0.000360,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
FWD-CARRIER-SCREW-2,SSK-M3-6-A4-P80,SSK-M3-6-A4-P80,"M3 X 6 SOCKET COUNTERSUNK SCREW, ISO 10642, PRECOTE 80",DEDICATED_INTERNAL_BUOY_INFLATION,100_FORWARD_PENETRATOR_WAI_AND_PRIMARY_STRUCTURE_ASSY/190_MANDATORY_HARDWARE_ASSY,342.000000,348.000000,345.754481,0.000360,Removed with the internal inflation architecture,NO,NO,NO,NO,NO
